date,title,link
2025-12-30,EU-Indonesia comprehensive economic partnership agreement : opening opportunities for European farmers,https://op.europa.eu/en/publication-detail/-/publication/4325b134-fb34-11f0-8da5-01aa75ed71a1/language-en
2025-12-30,Online financial frauds and scams in an artificial intelligence world : stay alert and protect yourself,https://op.europa.eu/en/publication-detail/-/publication/2a45e3e4-0179-11f1-825d-01aa75ed71a1/language-en
2025-12-30,The organisation of the academic year in Europe [2025/2026],https://op.europa.eu/en/publication-detail/-/publication/97f92794-0177-11f1-825d-01aa75ed71a1/language-en
2025-12-30,"Draft general budget of the European Union for the financial year 2026 : working document. Part IX, Funding to international organisations",https://op.europa.eu/en/publication-detail/-/publication/088bf488-f741-11f0-b9bc-01aa75ed71a1/language-en
2025-12-30,Collective bargaining beyond pay : an analysis of collective agreements in selected low-paid sectors,https://op.europa.eu/en/publication-detail/-/publication/1168ad23-ec40-11f0-8d3c-01aa75ed71a1/language-en
2025-12-30,EU-Mercosur partnership agreement,https://op.europa.eu/en/publication-detail/-/publication/188d26ae-fb34-11f0-8da5-01aa75ed71a1/language-en
2025-12-30,Health response in humanitarian settings : DG ECHO policy guidelines,https://op.europa.eu/en/publication-detail/-/publication/01dc9679-fb34-11f0-8da5-01aa75ed71a1/language-en
2025-12-30,European Semester 2025-2026 country fiche on disability equality : Malta,https://op.europa.eu/en/publication-detail/-/publication/61b329d0-00b8-11f1-825d-01aa75ed71a1/language-en
2025-12-30,Online financial frauds and scams in an artificial intelligence world : stay alert and protect yourself,https://op.europa.eu/en/publication-detail/-/publication/207a5706-03d2-11f1-825d-01aa75ed71a1/language-en
2025-12-30,European Semester 2025-2026 country fiche on disability equality : The Netherlands,https://op.europa.eu/en/publication-detail/-/publication/549b89b2-00c6-11f1-825d-01aa75ed71a1/language-en
