발행일,발행부처,문서종류,제목(한글),제목(영문),원문링크
2025-12-31,Securities and Exchange Commission,최종규칙(Rule),투자관리본부장에게 권한 위임,Delegation of Authority to the Director of the Division of Investment Management,https://www.federalregister.gov/documents/2025/12/31/2025-24127/delegation-of-authority-to-the-director-of-the-division-of-investment-management
2025-12-31,"Justice Department, Drug Enforcement Administration, Health and Human Services Department",최종규칙(Rule),통제된 약물 처방을 위한 코로나19 원격의료 유연성의 네 번째 임시 연장,Fourth Temporary Extension of COVID-19 Telemedicine Flexibilities for Prescription of Controlled Medications,https://www.federalregister.gov/documents/2025/12/31/2025-24123/fourth-temporary-extension-of-covid-19-telemedicine-flexibilities-for-prescription-of-controlled
2025-12-31,"Agriculture Department, Agricultural Marketing Service",최종규칙(Rule),코튼보드 규칙 및 규정: 수입품에 대한 추가 평가 조정(2025년 개정),Cotton Board Rules and Regulations: Adjusting Supplemental Assessment on Imports (2025 Amendments),https://www.federalregister.gov/documents/2025/12/31/2025-24113/cotton-board-rules-and-regulations-adjusting-supplemental-assessment-on-imports-2025-amendments
2025-12-31,Environmental Protection Agency,최종규칙(Rule),증기 발전 지점 배출원 범주에 대한 배출 제한 지침 및 표준 - 마감 기한 연장,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category-Deadline Extensions,https://www.federalregister.gov/documents/2025/12/31/2025-24102/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source
2025-12-31,Postal Service,최종규칙(Rule),보험 우편 청구서 접수 날짜,Claims Filing Date for Insured Mail,https://www.federalregister.gov/documents/2025/12/31/2025-24094/claims-filing-date-for-insured-mail
2025-12-31,Environmental Protection Agency,최종규칙(Rule),"연료, 연료 첨가제 및 규제된 혼합원료의 규제","Regulation of Fuels, Fuel Additives, and Regulated Blendstocks",https://www.federalregister.gov/documents/2025/12/31/2025-24084/regulation-of-fuels-fuel-additives-and-regulated-blendstocks
2025-12-31,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; 롱비치 항구, 롱비치, 캘리포니아","Safety Zone; Port of Long Beach, Long Beach, CA",https://www.federalregister.gov/documents/2025/12/31/2025-24071/safety-zone-port-of-long-beach-long-beach-ca
2025-12-31,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; Hampton Roads 교량-터널 확장 프로젝트, Hampton/Norfolk, VA","Safety Zone; Hampton Roads Bridge-Tunnel Expansion Project, Hampton/Norfolk, VA",https://www.federalregister.gov/documents/2025/12/31/2025-24070/safety-zone-hampton-roads-bridge-tunnel-expansion-project-hamptonnorfolk-va
2025-12-31,Veterans Affairs Department,최종규칙(Rule),생식 건강 서비스,Reproductive Health Services,https://www.federalregister.gov/documents/2025/12/31/2025-24061/reproductive-health-services
2025-12-30,Environmental Protection Agency,최종규칙(Rule),항공 계획 승인; 사우스캐롤라이나; 제2차 계획기간 지역안개계획,Air Plan Approval; South Carolina; Second Planning Period Regional Haze Plan,https://www.federalregister.gov/documents/2025/12/30/C1-2025-22565/air-plan-approval-south-carolina-second-planning-period-regional-haze-plan
2025-12-30,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),미국 만과 대서양 지역의 해안 이동성 원양 자원; 2025-2026 대왕고등어 도랑자망어업에 대한 상업적 책임조치,Coastal Migratory Pelagic Resources of the Gulf of America and Atlantic Region; 2025-2026 Commercial Accountability Measure for the King Mackerel Run-Around Gillnet Fishery,https://www.federalregister.gov/documents/2025/12/30/2025-24028/coastal-migratory-pelagic-resources-of-the-gulf-of-america-and-atlantic-region-2025-2026-commercial
2025-12-30,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 베링해 및 알류샨 열도 관리 지역 내 태평양 대구 재배치,Fisheries of the Exclusive Economic Zone Off Alaska; Reallocation of Pacific Cod in the Bering Sea and Aleutian Islands Management Area,https://www.federalregister.gov/documents/2025/12/30/2025-24020/fisheries-of-the-exclusive-economic-zone-off-alaska-reallocation-of-pacific-cod-in-the-bering-sea
2025-12-30,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),미국 북동부의 어업; 여름 가자미 어업; 노스캐롤라이나에서 뉴저지로 할당량 이전,Fisheries of the Northeastern United States; Summer Flounder Fishery; Quota Transfer From North Carolina to New Jersey,https://www.federalregister.gov/documents/2025/12/30/2025-24018/fisheries-of-the-northeastern-united-states-summer-flounder-fishery-quota-transfer-from-north
