발행일,발행부처,문서종류,제목(영문),원문링크,문서번호
2025-12-31,Environmental Protection Agency,Proposed Rule,"No-Migration Variance From Land Disposal Restrictions for Clean Harbors Grassy Mountain, Utah",https://www.federalregister.gov/documents/2025/12/31/2025-24134/no-migration-variance-from-land-disposal-restrictions-for-clean-harbors-grassy-mountain-utah,2025-24134
2025-12-31,"Transportation Department, Maritime Administration",Notice,"Aquaculture Support Operations Waiver Request for the Vessels COLBY PERCE, RONJA CARRIER, SADIE JANE, MISS MILDRED 1, and KC COMMANDER",https://www.federalregister.gov/documents/2025/12/31/2025-24128/aquaculture-support-operations-waiver-request-for-the-vessels-colby-perce-ronja-carrier-sadie-jane,2025-24128
2025-12-31,Securities and Exchange Commission,Rule,Delegation of Authority to the Director of the Division of Investment Management,https://www.federalregister.gov/documents/2025/12/31/2025-24127/delegation-of-authority-to-the-director-of-the-division-of-investment-management,2025-24127
2025-12-31,Securities and Exchange Commission,Notice,The RBB Fund Trust and Gladius Capital Management LP,https://www.federalregister.gov/documents/2025/12/31/2025-24126/the-rbb-fund-trust-and-gladius-capital-management-lp,2025-24126
2025-12-31,Securities and Exchange Commission,Notice,"Aristotle Pacific Enhanced CLO Income Fund and Aristotle Pacific Capital, LLC",https://www.federalregister.gov/documents/2025/12/31/2025-24125/aristotle-pacific-enhanced-clo-income-fund-and-aristotle-pacific-capital-llc,2025-24125
2025-12-31,Securities and Exchange Commission,Notice,RBC BlueBay Enhanced Income Fund and RBC Global Asset Management (U.S.) Inc.,https://www.federalregister.gov/documents/2025/12/31/2025-24124/rbc-bluebay-enhanced-income-fund-and-rbc-global-asset-management-us-inc,2025-24124
2025-12-31,"Justice Department, Drug Enforcement Administration, Health and Human Services Department",Rule,Fourth Temporary Extension of COVID-19 Telemedicine Flexibilities for Prescription of Controlled Medications,https://www.federalregister.gov/documents/2025/12/31/2025-24123/fourth-temporary-extension-of-covid-19-telemedicine-flexibilities-for-prescription-of-controlled,2025-24123
2025-12-31,"Transportation Department, Federal Aviation Administration",Notice,"Extension of Comment Period of Proposed Voluntary Agreement for Golden Gate National Recreation Area, San Francisco Maritime National Historical Park, Point Reyes National Seashore, and Muir Woods National Monument",https://www.federalregister.gov/documents/2025/12/31/2025-24122/extension-of-comment-period-of-proposed-voluntary-agreement-for-golden-gate-national-recreation-area,2025-24122
2025-12-31,Federal Housing Finance Agency,Notice,Proposed Collection; Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24121/proposed-collection-comment-request,2025-24121
2025-12-31,"Trade Representative, Office of United States",Notice,Modification of the Allocation of the WTO Tariff-Rate Quota Volumes for Beef,https://www.federalregister.gov/documents/2025/12/31/2025-24120/modification-of-the-allocation-of-the-wto-tariff-rate-quota-volumes-for-beef,2025-24120
