국가,기관,상세분류,발행일,제목,원문,링크,수집일
미국,백악관,1. AI/데이터,2025-01-23,인공 지능 분야에서 미국의 리더십에 대한 장벽 제거,REMOVING BARRIERS TO AMERICAN LEADERSHIP IN ARTIFICIAL INTELLIGENCE,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,2026-02-04
미국,백악관,2. 반도체/제조,2025-07-10,미국의 AI 행동 계획,America’s AI Action Plan,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,2026-02-04
미국,백악관,3. 통신/6G/인프라,2025-06-30,미국의 젊은이들에 대한 서약,Pledge to America’s Youth,https://www.whitehouse.gov/edai/,2026-02-04
미국,NTIA,1. AI/데이터,2024-03-27,잠재적인 피해와 위험을 인식,Recognize Potential Harms and Risks,https://www.ntia.gov/issues/artificial-intelligence/ai-accountability-policy-report/requisites-for-ai-accountability-areas-of-significant-commenter-agreement/recognize-potential-harms-and-risks,2026-02-04
미국,NTIA,3. 통신/6G/인프라,2024-10-11,국가 스펙트럼 전략,National Spectrum Strategy,https://www.ntia.gov/programs-and-initiatives/national-spectrum-strategy,2026-02-04
중국,CAC,1. AI/데이터,2024-04-03,2024 중국-아프리카 인터넷 개발 및 협력 포럼 의장의 중국-아프리카 AI 협력에 관한 성명,2024 China-Africa Internet Development and Cooperation Forum Chair´s Statement on China-Africa Cooperation on AI,https://www.cac.gov.cn/2024-04/03/c_1713731793842754.htm,2026-02-04
중국,CAC,2. 반도체/제조,2025-04-06,2017년 중국 인터넷 발전 보고서,Report on China Internet Development 2017,https://www.cac.gov.cn/1122128829_15135790794381n.pdf,2026-02-04
중국,CAC,3. 통신/6G/인프라,2025-09-28,중국-아프리카 사이버 공간 운명공동체 공동 구축 행동 계획(2025-2026),Plan of Actions on Jointly Building a China-Africa Community with a Shared Future in Cyberspace（2025-2026）,https://www.cac.gov.cn/2025-09/28/c_1760606713169654.htm,2026-02-04
대한민국,산업통상자원부,2. 반도체/제조,2024-01-15,“세계 최대·최고 반도체 메가 클러스터” 조성방안 발표,“세계 최대·최고 반도체 메가 클러스터” 조성방안 발표,https://www.motie.go.kr/attach/down/095a2dda9c864e1d90d751f7668a1117/29bce4501e43341c0cbf92bfebee7f6d/778bdbf5db9ced7c8fd52756c00bf0cd,2026-02-04
대한민국,산업통상자원부,4. 사이버보안,2024-02-03,- 산업통상부,- 산업통상부,https://www.motie.go.kr/attach/down/c7e533609d0cae9cb7a03ce626aa73ca/4ef649707b8935df4493ce986c615c46,2026-02-04
싱가포르,MDDI,1. AI/데이터,2024-03-01,싱가포르의 경제적 잠재력을 높이기 위해 시작된 인공 지능(AI) 이니셔티브,Artificial Intelligence (AI) initiatives launched to uplift Singapore’s economic potential,https://www.mddi.gov.sg/newsroom/ai-initiatives-launched-to-uplift-sg-economic-potential/,2026-02-04
싱가포르,MDDI,2. 반도체/제조,2025-12-01,"유럽연합-싱가포르 디지털 파트너십, AI, 사이버 보안 및 기타 신기술 분야에서 새로운 우선순위를 부여하며 새로운 단계 진입","European Union-Singapore Digital Partnership Enters New Phase with Refreshed Priorities in AI, Cybersecurity and Other Emerging Technologies",https://www.mddi.gov.sg/newsroom/european-union-singapore-digital-partnership-enters-new-phase--with-refreshed-priorities-in-ai--cybersecurity-and-other-emerging-technologies/,2026-02-04
싱가포르,MDDI,3. 통신/6G/인프라,2025-08-28,Google Cloud의 AI 아시아 이벤트에서 Josephine Teo 장관의 개회사,Opening Remarks by Minister Josephine Teo at Google Cloud's AI Asia Event,https://www.mddi.gov.sg/newsroom/opening-remarks-by-minister-josephine-teo-at-google-cloud-s-ai-asia-event/,2026-02-04
싱가포르,IMDA,4. 사이버보안,2026-01-19,에이전트 AI를 위한 모델 AI 거버넌스 프레임워크,MODEL AI GOVERNANCE FRAMEWORK FOR AGENTIC AI,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,2026-02-04
일본,MIC,3. 통신/6G/인프라,2025-09-19,5G 개발현황 공개(2024년 말 기준),Publication of 5G Development Status (As at the End of FY 2024),https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/pressrelease/2025/9/19_4.html,2026-02-04
일본,MIC,4. 사이버보안,2024-03-12,텍스트 레이어,Die Textebenen,https://www.tele.soumu.go.jp/resource/j/equ/mra/pdf/05/e/15.pdf,2026-02-04
일본,디지털청,1. AI/데이터,2025-06-06,텍스트 생성 AI 활용 리스크 대응 가이드북(α 버전)│디지털 에이전시,Guidebook for Countering Risks of Using Text-Generating AI (α Version)｜Digital Agency,https://www.digital.go.jp/en/resources/generalitve-ai-guidebook,2026-02-04
일본,디지털청,2. 반도체/제조,2025-05-23,스마트폰으로 IC 칩 등을 판독하는 방법│디지털 에이전시,"About Reading IC Chips, etc. with Smartphones｜Digital Agency",https://www.digital.go.jp/en/policies/mynumber/cc910477-be5b-412e-8398-e89991764134,2026-02-04
