국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
미국,백악관,기타 ICT 일반,2025-12-16,미국의 안보를 보호하기 위해 외국인의 입국을 제한하고 있습니다.,Restricting and Limiting the Entry of Foreign Nationals to Protect the Security of the United States,https://www.whitehouse.gov/presidential-actions/2025/12/restricting-and-limiting-the-entry-of-foreign-nationals-to-protect-the-security-of-the-united-states/,2026-02-04
미국,DOC,3-3. 플랫폼 및 권리,2026-01-15,팩트시트: 대만과의 무역 및 투자 협정을 통해 미국 반도체 제조 리더십 회복,Fact Sheet: Restoring American Semiconductor Manufacturing Leadership Through an Agreement on Trade & Investment with Taiwan,https://www.commerce.gov/news/fact-sheets/2026/01/fact-sheet-restoring-american-semiconductor-manufacturing-leadership,2026-02-04
미국,NTIA,기타 ICT 일반,2024-08-23,5장: 디지털 세대: 젊은이들이 컴퓨터와 인터넷을 어떻게 받아들였는가,Chapter 5: The Digital Generation: How Young People Have Embraced Computers And The Internet,https://www.ntia.gov/sites/default/files/data/dn/html/Chapter5.htm,2026-02-04
중국,CAC,2-3. 정책 및 거버넌스,2025-12-04,디지털 거버넌스에 대한 중국-아세안 협력 심화를 위한 중국의 이니셔티브,China's Initiative on Deepening China-ASEAN Cooperation on Digital Governance,https://www.cac.gov.cn/2025-12/04/c_1766577618173846.htm,2026-02-04
싱가포르,MDDI,기타 ICT 일반,2026-01-22,중소기업협회(ASME) AI 페스티벌 아시아 2026에서 MOS Jasmin Lau의 개회사,Opening Address by MOS Jasmin Lau at the Association of Small and Medium Enterprises (ASME)’s AI Festival Asia 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-the-association-of-small-and-medium-enterprises--asme--s-ai-festival-asia-2026/,2026-02-04
싱가포르,IMDA,기타 ICT 일반,2026-01-22,"IMDA, 새로운 실용적인 리소스로 기업의 디지털 지속 가능성 채택을 단순화",IMDA Simplifies Digital Sustainability Adoption for Businesses with New Practical Resources,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/imda-simplifies-digital-sustainability-adoption-for-businesses-with-new-practical-resources,2026-02-04
일본,MIC,기타 ICT 일반,2025-12-10,ICT × 일본,ICT × Japan,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/newsletter/pdf/vol36/no11.pdf,2026-02-04
일본,디지털청,기타 ICT 일반,2024-03-07,일본 웹사이트 방문 |디지털 에이전시 서비스,Visit Japan Web | Digital Agency Services,https://services.digital.go.jp/en/visit-japan-web/,2026-02-04
일본,METI,3-3. 플랫폼 및 권리,2025-05-12,"1 유럽연합 제3차 회의 공동성명 - 일본 디지털 파트너십 협의회, 2025년 5월 12일, 도쿄","1 Joint Statement of the third meeting of the European Union – Japan Digital Partnership Council 12 May 2025, Tokyo",https://www.meti.go.jp/press/2025/05/20250513003/20250513003-1r.pdf,2026-02-04
영국,DSIT,기타 ICT 일반,2026-02-03,최고 디지털 정보 책임자(Deputy Chief Digital Information Officer),Deputy Chief Digital Information Officer,https://findajob.dwp.gov.uk/details/17827696,2026-02-04
영국,DBT,기타 ICT 일반,2026-02-03,ICT 교사(공급),ICT Teachers (Supply),https://findajob.dwp.gov.uk/details/17826960,2026-02-04
네덜란드,EZK,기타 ICT 일반,2026-01-20,네덜란드 AI의 글로벌 기회 강화,Strengthening global opportunities for Dutch AI,https://www.government.nl/documents/reports/2026/01/20/strengthening-global-opportunities-for-dutch-ai,2026-02-04
네덜란드,Digitalisation,기타 ICT 일반,2026-01-21,사이버위협 정보표준 협의,Consultation on cyber threat information standards,https://www.nldigitalgovernment.nl/news/consultation-on-cyber-threat-information-standards/,2026-02-04
스웨덴,Finance,3-3. 플랫폼 및 권리,2024-10-28,나이지리아 부통령의 스웨덴 방문에서 무역 파트너십 강화와 디지털 및 녹색 전환이 논의되었습니다.,Enhanced partnership in trade and the digital and green transition were discussed during Nigerian Vice President’s visit to Sweden,https://www.government.se/articles/2024/10/enhanced-partnership-in-trade-and-the-digital-and-green-transition-were-discussed-during-nigerian-vice-presidents-visit-to-sweden/,2026-02-04
스웨덴,Enterprise,1-3. 산업 융합 및 미래 기술,2024-05-03,사이버 및 디지털 문제에 관한 스웨덴과 미국 간의 양자 대화,Bilateral dialogue between Sweden and the United States on cyber and digital issues,https://www.government.se/press-releases/2024/05/dialogue-between-sweden-and-the-united-states-on-cyber-and-digital-issues/,2026-02-04
핀란드,LVM,2-3. 정책 및 거버넌스,2026-01-29,정부는 EU 디지털 규제를 단순화하려는 위원회의 목표를 지지합니다.,Government supports Commission’s objective to simplify EU digital regulation,https://lvm.fi/en/-/government-supports-commission-s-objective-to-simplify-eu-digital-regulation,2026-02-04
핀란드,MEE,1-3. 산업 융합 및 미래 기술,2025-04-24,전략: 양자 기술은 핀란드의 새로운 성장 원동력이자 지속 가능한 미래의 구축자입니다.,Strategy: quantum technology is Finland's new driver of growth and builder of a sustainable future,https://tem.fi/en/-/strategy-quantum-technology-is-finland-s-new-driver-of-growth-and-builder-of-a-sustainable-future,2026-02-04
스위스,OFCOM,2-3. 정책 및 거버넌스,2024-03-11,스위스의 디지털 거버넌스 및 인공 지능을 위한 Plateforme Tripartite,The Plateforme Tripartite for digital governance and artificial intelligence in Switzerland,https://www.bakom.admin.ch/en/the-plateforme-tripartite-for-digital-governance-and-artificial-intelligence-in-switzerland,2026-02-04
스위스,WBF,4-1. 이동수단 및 항공,2026-01-28,AI 서밋 2027: 스위스는 이벤트 개최 의지를 나타냄,AI Summit 2027: Switzerland indicates willingness to host event,https://www.wbf.admin.ch/en/newnsb/fVHic4Zdu8Sd1ZLKT3X6g,2026-02-04
덴마크,Digitaliseringsstyrelsen,기타 ICT 일반,2025-07-07,EU/EEA에서 디지털 셀프 서비스 및 eID 사용,Using digital self-services and eID across the EU/EEA,https://en.digst.dk/systems/eid-and-single-digital-gateway/using-digital-self-services-and-eid-across-the-eueea/,2026-02-04
