국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
미국,백악관,기타 ICT 일반,2025-05-23,국가 안보를 위한 첨단 원자로 기술 배치,DEPLOYING ADVANCED NUCLEAR REACTOR TECHNOLOGIES FOR NATIONAL SECURITY,https://www.whitehouse.gov/presidential-actions/2025/05/deploying-advanced-nuclear-reactor-technologies-for-national-security/,2026-02-04
미국,DOC,기타 ICT 일반,2024-09-19,팩트 시트: 디지털 경제에서 미국 경쟁력과 무역을 향상시키기 위한 국제 무역청의 노력,Fact Sheet: International Trade Administration Efforts to Advance U.S. Competitiveness and Trade in the Digital Economy,https://www.commerce.gov/news/fact-sheets/2024/09/fact-sheet-international-trade-administration-efforts-advance-us,2026-02-04
미국,NTIA,기타 ICT 일반,2024-01-11,국가 스펙트럼 전략,National Spectrum Strategy,https://www.ntia.gov/sites/default/files/frontier-foundry-written-input.pdf,2026-02-04
싱가포르,MDDI,기타 ICT 일반,2025-03-07,"싱가포르의 삶, 일, 비즈니스를 변화시키는 AI 이니셔티브","AI Initiatives to Transform Life, Work and Business in Singapore",https://www.mddi.gov.sg/newsroom/ai-initiatives-to-transform-life-work-and-business-in-singapore/,2026-02-04
싱가포르,IMDA,기타 ICT 일반,2025-08-29,"싱가포르, 국가 AI 야망 가속화를 위해 AI에 능숙한 인력 구축",Singapore to Build AI-Fluent Workforce to Accelerate National AI Ambition,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2025/sg-to-build-ai-fluent-workforce-to-accelerate-national-ai-ambition,2026-02-04
일본,MIC,2-2. 통신 인프라 및 단말기,2024-08-30,'AI 사회 지원을 위한 차세대 정보통신 인프라 구현 전략' 발간,Publication of “Strategy for Realizing Next-Generation Information and Communication Infrastructure to Support AI Society,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/pressrelease/2024/8/30_7.html,2026-02-04
일본,디지털청,1-2. 지능형 플랫폼 및 데이터,2025-06-20,데이터 전략 추진│디지털 에이전시,Promotion of data strategy｜Digital Agency,https://www.digital.go.jp/en/policies/data_strategy,2026-02-04
일본,METI,2-3. 정책 및 거버넌스,2024-07-12,일본 반도체 활성화 전략 개요 2024년 7월 경제부 상무정보정책국,"Outline of Semiconductor Revitalization Strategy in Japan July 2024 Commerce and Information Policy Bureau, Ministry of Economy,",https://www.meti.go.jp/english/policy/0704_001.pdf,2026-02-04
네덜란드,EZK,1-2. 지능형 플랫폼 및 데이터,2024-01-17,네덜란드의 생성 AI에 대한 정부 차원의 비전,Government-wide vision on generative AI of the Netherlands,https://www.government.nl/documents/parliamentary-documents/2024/01/17/government-wide-vision-on-generative-ai-of-the-netherlands,2026-02-04
네덜란드,Digitalisation,2-3. 정책 및 거버넌스,2025-06-10,디지털화 정책,Digitalisation Policy,https://www.nldigitalgovernment.nl/overview/digitalisation-policy/,2026-02-04
스웨덴,Finance,2-3. 정책 및 거버넌스,2024-12-11,사이버 및 디지털 문제에 대한 스웨덴의 외교 및 안보 정책 전략,A strategy for Sweden’s foreign and security policy on cyber and digital issues,https://www.government.se/information-material/2024/12/a-strategy-for-swedens-foreign-and-security-policy-on-cyber-and-digital-issues/,2026-02-04
스웨덴,Enterprise,2-3. 정책 및 거버넌스,2024-12-09,"외교부 장관, 외교안보정책에서 사이버·디지털 문제에 대한 정부 전략 발표",Minister for Foreign Affairs launches Government’s strategy on cyber and digital issues in foreign and security policy,https://www.government.se/press-releases/2024/12/minister-for-foreign-affairs-launches-governments-strategy-on-cyber-and-digital-issues-in-foreign-and-security-policy/,2026-02-04
핀란드,LVM,3-3. 플랫폼 및 권리,2024-04-25,글로벌 디지털 문제에서 EU의 리더십 강화,Strengthening the EU’s Leadership in Global Digital Affairs,https://lvm.fi/o/yja-generic-portlet/yja-api/vahva/documents/6341785,2026-02-04
핀란드,MEE,1-3. 산업 융합 및 미래 기술,2025-04-24,전략: 양자 기술은 핀란드의 새로운 성장 원동력이자 지속 가능한 미래의 구축자입니다.,Strategy: quantum technology is Finland's new driver of growth and builder of a sustainable future,https://tem.fi/en/-/strategy-quantum-technology-is-finland-s-new-driver-of-growth-and-builder-of-a-sustainable-future,2026-02-04
스위스,OFCOM,2-3. 정책 및 거버넌스,2025-09-06,전 세계 국가 및 지역의 인공지능 규제 분석,Analysis of artificial intelligence regulation in countries and regions around the world,https://www.bakom.admin.ch/dam/en/sd-web/3DmSVH-UgRCm/analyse_laender.pdf,2026-02-04
덴마크,Digitaliseringsstyrelsen,기타 ICT 일반,2024-11-29,디지털화를 위한 국가 전략,National Strategy for Digitalisation,https://en.digst.dk/media/mndfou2j/national-strategy-for-digitalisation-together-in-the-digital-development.pdf,2026-02-04
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-04-22,2018 산업통상자원부,"2018 Ministry of Industry, Business and Financial Affairs",https://www.eng.em.dk/media/15630/digital-growth-strategy-report_uk_web-2.pdf,2026-02-04
노르웨이,KDD,기타 ICT 일반,2024-11-04,미래의 디지털 노르웨이 - 국가 디지털화 전략 2024~2030,The Digital Norway of the Future – National Digitalisation Strategy 2024–2030,https://www.regjeringen.no/contentassets/c499c3b6c93740bd989c43d886f65924/en-gb/pdfs/digitaliseringsstrategi_eng.pdf,2026-02-04
노르웨이,NFD,기타 ICT 일반,2025-10-21,인공지능을 위한 국가 전략,The National Strategy for Artificial Intelligence,https://www.regjeringen.no/en/documents/nasjonal-strategi-for-kunstig-intelligens/id2685594/?ch=6,2026-02-04
이스라엘,IIA,기타 ICT 일반,2024-05-15,이스라엘 AI,ISRAEL AI,https://innovationisrael.org.il/ai/wp-content/uploads/sites/4/2024/04/Israel-National-AI-Program-Booklet.pdf,2026-02-04
이스라엘,MoC,기타 ICT 일반,2025-11-17,미국 AI 기술 수출 패키지: 글로벌 AI 참여를 위한 새로운 연방 전략,The U.S. AI Technology Export Packages: A New Federal Strategy for Global AI Engagement,https://itrade.gov.il/usa/the-u-s-ai-technology-export-packages-a-new-federal-strategy-for-global-ai-engagement/,2026-02-04
이스라엘,Economy,2-3. 정책 및 거버넌스,2024-09-24,전략정책기획부 |노동부,Strategy and Policy Planning Division | Ministry Of Labor,https://www.gov.il/en/Departments/Units/senior-strategy-and-policy-planning-division,2026-02-04
캐나다,ISED,기타 ICT 일반,2025-10-31,범캐나다 인공지능 전략,Pan-Canadian Artificial Intelligence Strategy,https://ised-isde.canada.ca/site/ai-strategy/en/pan-canadian-artificial-intelligence-strategy,2026-02-04
캐나다,TBS,기타 ICT 일반,2025-06-24,연방 공공 서비스를 위한 AI 전략 2025-2027: 개요,AI Strategy for the Federal Public Service 2025-2027: Overview,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/gc-ai-strategy-overview.html,2026-02-04
프랑스,Bercy,기타 ICT 일반,2026-01-20,Tracfin 활동 보고서 2권 FR,Rapport d'activité Tracfin Tome 2 FR,https://www.economie.gouv.fr/files/files/directions_services/tracfin/media-document/Tracfin_t2_EN_V2.pdf?v=1768913889,2026-02-04
프랑스,DG Entreprises,기타 ICT 일반,2024-11-28,프랑스 2030: 내일의 도전에 대한 경제적 대응,France 2030 : une réponse économique aux enjeux de demain,https://www.entreprises.gouv.fr/files/files/Publications/2022/Themas/themas-dge-n5-vanglaise.pdf,2026-02-04
호주,DITRDCA,1-2. 지능형 플랫폼 및 데이터,2025-03-04,데이터 전략 2025-29,Data Strategy 2025–29,https://www.infrastructure.gov.au/sites/default/files/documents/ditdrc-data-strategy-2025-2029.pdf,2026-02-04
호주,DISR,기타 ICT 일반,2025-12-02,호주는 기회를 포착하고 혜택을 공유하며 호주인의 안전을 지키기 위해 국가 AI 계획을 시작합니다.,"Australia launches National AI Plan to capture opportunities, share benefits and keep Australians safe",https://www.industry.gov.au/news/australia-launches-national-ai-plan-capture-opportunities-share-benefits-and-keep-australians-safe,2026-02-04
아일랜드,DECC,기타 ICT 일반,2025-05-29,업데이트된 국가 디지털 전략 2025,Updated National Digital Strategy 2025,https://www.gov.ie/en/department-of-the-taoiseach/press-releases/updated-national-digital-strategy-2025/,2026-02-04
아일랜드,DETE,4-3. 제조 및 기계,2025-05-19,실리콘 아일랜드 아일랜드의 국가 반도체 전략,Silicon Island Ireland's National Semiconductor Strategy,https://enterprise.gov.ie/en/publications/publication-files/silicon-island-a-national-semiconductor-strategy.pdf,2026-02-04
오스트리아,BMF,기타 ICT 일반,2024-10-01,오스트리아 청소년 전략,Austrian Youth Strategy,https://www.bmf.gv.at/en/the-ministry/Austrian-Youth-Strategy.html,2026-02-04
벨기에,연방혁신기술부,기타 ICT 일반,2024-06-18,SEAD 디지털화 시대의 지속가능한 고용,SEAD Sustainable employment in the age of digitalisation,https://www.belspo.be/belspo/brain2-be/projects/FinalReports/SEAD_FinRep.pdf,2026-02-04
벨기에,BIPT,2-3. 정책 및 거버넌스,2024-05-24,디지털 서비스법: 벨기에는 유럽 규정 브뤼셀의 조항을 시행하기 위해 4개의 관할 당국을 지정했습니다.,Digital Services Act: Belgium has designated its four competent authorities to enforce the provisions of the European regulation Brussels,https://www.bipt.be/consumers/publication/digital-services-act-belgium-has-designated-its-four-competent-authorities-to-enforce-the-provisions-of-the-european-regulation-brussels,2026-02-04
벨기에,FPS Economy,1-2. 지능형 플랫폼 및 데이터,2025-12-23,연방 데이터 전략: 보고서 분석,Federal Data Strategy : analyse report,https://economie.fgov.be/nl/file/7472884/download?token=5FH_jmHj,2026-02-04
