국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
UAE,MoIAT,4-1. 이동수단 및 항공,2024-06-04,"UAE, EV 제조 허브가 되기 위해 글로벌 경쟁력 제고 MIITE 포럼 2024 개최",UAE raises global competitiveness to become hub for EV manufacturing hears MIITE Forum 2024,https://moiat.gov.ae/en/media-center/news/2024/06/04/uae-raises-global-competitiveness-to-become-hub-for-ev-manufacturing-hears-miite-forum-2024,2026-02-04
UAE,MoIAT,기타 ICT 일반,2024-06-10,산업첨단기술부는 부문 성장과 경쟁력을 지원하기 위해 Make it in the Emirates Awards 수상자에게 상을 수여합니다.,Ministry of Industry and Advanced Technology honors winners of Make it in the Emirates Awards to support sector growth and competitiveness,https://moiat.gov.ae/en/media-center/news/2024/06/10/ministry-of-industry-and-advanced-technology-honors-winners,2026-02-04
UAE,MoIAT,기타 ICT 일반,2024-10-14,수입 중고차 기술 요구 사항,Imported Used Vehicle Technical Requirements,https://moiat.gov.ae/en/digital-participation/consultations/imported-used-vehicle-technical-requirements,2026-02-04
UAE,MoIAT,기타 ICT 일반,2025-03-10,산업기술부는 국내 제품을 홍보하는 첫 번째 Make it in the Emirates Ramadan Market을 시작합니다.,The Ministry of Industry and Advanced Technology launches the inaugural Make it in the Emirates Ramadan Market promoting domestic products,https://moiat.gov.ae/en/media-center/news/2025/03/10/miite-market,2026-02-04
UAE,MoIAT,1-2. 지능형 플랫폼 및 데이터,2026-01-28,전국 국내 가치 데이터,The National In-Country Value Data,https://moiat.gov.ae/en/open-data/national-icv?icvsupplierssearch=&icvsupplierscompany=&icvsupplierscategory=&icvpage=73,2026-02-04
UAE,TDRA,3-3. 플랫폼 및 권리,2024-05-07,디지털 참여 지침 및 플레이북,Digital Participation Guidelines & Playbook,https://dgov.tdra.gov.ae/en/publications/digital-participation-guidelines-and-playbook,2026-02-04
UAE,TDRA,2-3. 정책 및 거버넌스,2025-10-12,관리 시스템 정책,Management Systems Policies,https://tdra.gov.ae/en/About/management-systems-policies,2026-02-04
UAE,TDRA,1-2. 지능형 플랫폼 및 데이터,2025-10-30,공개 데이터 정책,Open Data Policy,https://tdra.gov.ae/en/open-data/open-data-policy,2026-02-04
UAE,TDRA,2-2. 통신 인프라 및 단말기,2026-01-29,통신장비공급업체 등록 갱신,Renew Registration of Telecom Equipment Supplier,https://tdra.gov.ae/api/sitecore/ServiceDGT/ExportPdf?id=MtvuquK7ue5DsKEPhBGw36QmzkQ0AWK13LVH9l6Qjpg&lang=en,2026-02-04
UAE,TDRA,기타 ICT 일반,2026-01-29,디지털 공유 도구 제공 요청,Request to Provide Digital Sharing Tools,https://tdra.gov.ae/api/sitecore/ServiceDGT/ExportPdf?id=36DVBJ6ZQRdk84C0CUunlvgBI7tWNWkmYpO_CrOT8ss&lang=en,2026-02-04
