국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
UAE,MoIAT,기타 ICT 일반,2025-03-10,산업기술부는 국내 제품을 홍보하는 첫 번째 Make it in the Emirates Ramadan Market을 시작합니다.,The Ministry of Industry and Advanced Technology launches the inaugural Make it in the Emirates Ramadan Market promoting domestic products,https://moiat.gov.ae/en/media-center/news/2025/03/10/miite-market,2026-02-04
UAE,TDRA,기타 ICT 일반,2026-01-29,디지털 공유 도구 제공 요청,Request to Provide Digital Sharing Tools,https://tdra.gov.ae/api/sitecore/ServiceDGT/ExportPdf?id=36DVBJ6ZQRdk84C0CUunlvgBI7tWNWkmYpO_CrOT8ss&lang=en,2026-02-04
네덜란드,Digitalisation,1-2. 지능형 플랫폼 및 데이터,2026-01-27,PET: 개인 정보 보호를 고려한 데이터 사용을 위한 도구,PETs: tools for privacy-concious data use,https://www.nldigitalgovernment.nl/news/pets-tools-for-privacy-concious-data-use/,2026-02-04
네덜란드,EZK,기타 ICT 일반,2026-01-20,네덜란드 AI의 글로벌 기회 강화,Strengthening global opportunities for Dutch AI,https://www.government.nl/documents/reports/2026/01/20/strengthening-global-opportunities-for-dutch-ai,2026-02-04
노르웨이,KDD,2-3. 정책 및 거버넌스,2025-11-03,문화정책,Cultural policy,https://www.regjeringen.no/en/topics/culture-sports-and-non-profit-work/innsiktsartikler/kulturpolitikken/id2001223/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2025-10-21,정부의 외교부 기후 전략 2025~2030,The Government’s Climate Strategy for the Foreign Service 2025–2030,https://www.regjeringen.no/en/documents/regjeringens-klimastrategi-for-utenrikstjenesten-2025-2030/id3107757/?ch=4,2026-02-04
대만,MOEA,기타 ICT 일반,2026-01-23,"MOEA, 2026년 최고의 AI 어워드 출시, 모든 산업 전반에 걸쳐 채택 가속화할 차세대 에이전트 AI 도입","MOEA Launches 2026 Best AI Awards, ushering in a New Generation of Agentic AI to Accelerate Adoption Across All Industries",https://www.moea.gov.tw/Mns/english/videos/VideoRss.aspx?kind=P&menu_id=33228&video_id=21414,2026-02-04
대만,moda,기타 ICT 일반,2026-01-19,"MODA, 2025년 디지털 액세스 조사 보고서 발표, 가구 및 개인 인터넷 액세스에서 사상 최고치를 기록 |보도 자료","MODA Releases 2025 Digital Access Survey Report, Showing Record Highs in Household and Individual Internet Access｜Press Releases",https://moda.gov.tw/en/press/press-releases/18674.html,2026-02-04
대한민국,과학기술정보통신부,기타 ICT 일반,2026-01-29,"Science, Technology and ICT [Newsletter] September 2025","Science, Technology and ICT [Newsletter] September 2025",https://www.msit.go.kr/engNewsletter/20260129/newsletter.html,2026-02-04
덴마크,Digitaliseringsstyrelsen,2-1. IT 솔루션 및 서비스,2025-07-07,EU/EEA에서 디지털 셀프 서비스 및 eID 사용,Using digital self-services and eID across the EU/EEA,https://en.digst.dk/systems/eid-and-single-digital-gateway/using-digital-self-services-and-eid-across-the-eueea/,2026-02-04
