국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
UAE,MoIAT,기타 ICT 일반,2024-10-26,디지털 참여,المشاركة الرقمية,http://www.moiat.gov.ae/ar/digital-participation,2026-02-04
UAE,MoIAT,1. 융합 및 하이테크,2025-03-24,인공지능 프로그램을 통한 혁신,برنامج الابتكار عبر الذكاء الاصطناعي,https://www.moiat.gov.ae/ar/ai-innovation-program-v2,2026-02-04
UAE,TDRA,기타 ICT 일반,2024-09-11,디지털 혁신 가능성,ﻣﻤﻜﻨﺎت اﻟﺘﺤﻮل اﻟﺮﻗﻤﻲ,https://dgov.tdra.gov.ae/-/media/dgov/pdfs/publications/uae-digital-enablers-report-ar.pdf,2026-02-04
UAE,TDRA,기타 ICT 일반,2026-01-25,ICT 펀드 소식 9월 22일,ICT Fund News Sep22,https://tdra.gov.ae/-/media/ICTFund/News/Newsletter/ICT-Fund-News-Sep22.ashx?c=newsletter&t=Newsletter+-+September+2022+%28Available+in+Arabic+Only%29,2026-02-04
네덜란드,Digitalisation,기타 ICT 일반,2024-01-03,일반 디지털 인프라(GDI) 아카이브,Generic Digital Infrastructure (GDI) Archives,https://www.nldigitalgovernment.nl/dossiers/gdi/,2026-02-04
네덜란드,Digitalisation,1. 융합 및 하이테크,2025-12-02,“디지털 이슈가 일상생활의 중심에 닥쳤습니다”,“Digital issues strike at the heart of daily life here”,https://www.nldigitalgovernment.nl/caribbean-news/cyber-resilience-key-to-good-governance-and-reliable-services/,2026-02-04
네덜란드,EZK,1. 융합 및 하이테크,2024-03-19,누구나 곧 디지털 VOG를 이용할 수 있습니다.,Digital VOG available soon for everyone,https://www.government.nl/latest/news/2024/03/19/digital-vog-available-soon-for-everyone,2026-02-04
네덜란드,EZK,1. 융합 및 하이테크,2025-01-20,네덜란드 자동차 교통 보장 기금(Dutch Motor Traffic Guarantee Fund)에 청구하기,Making a claim with the Dutch Motor Traffic Guarantee Fund (Waarborgfonds Motorverkeer),https://www.government.nl/topics/vehicles/making-a-claim-with-the-dutch-motor-traffic-guarantee-fund,2026-02-04
노르웨이,KDD,기타 ICT 일반,2026-01-29,디지털 역량의 미래 필요성에 관한 새로운 보고서,Ny rapport om framtidens behov for digital kompetanse,https://www.regjeringen.no/no/aktuelt/ny-rapport-om-framtidens-behov-for-digital-kompetanse/id3147542/,2026-02-04
노르웨이,KDD,1. 융합 및 하이테크,2026-01-30,행정자치부 장관 프로스퍼 AI 방문,Digitaliserings- og forvaltningsministeren besøker Prosper AI,https://www.regjeringen.no/no/aktuelt/digitaliserings-og-forvaltningsministeren-besoker-prosper-ai/id3147649/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2026-01-22,디지털 탄력성 향상을 위한 새로운 포털,Ny portal for økt digital motstandskraft,https://www.regjeringen.no/no/aktuelt/ny-portal-for-okt-digital-motstandskraft/id3146805/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2026-01-30,노르웨이의 디지털 건강 서비스 이용률 높음,Høg bruk av digitale helsetenester i Noreg,https://www.regjeringen.no/no/aktuelt/hog-bruk-av-digitale-helsetenester-i-noreg/id3147569/,2026-02-04
대만,MOEA,1. 융합 및 하이테크,2026-01-20,"경제부 '2026년 스마트혁신대상' 개막, 에이전트 기반 AI 새 시대 열고 다양한 산업 분야 AI 구현 가속화",經濟部「2026智慧創新大賞」開跑 啟動代理式AI新世代，加速AI落地百工百業,https://www.moea.gov.tw/MNS/populace/news/News.aspx?kind=1&menu_id=40&news_id=121644,2026-02-04
대만,MOEA,1. 융합 및 하이테크,2026-01-30,A+ 기업 혁신적 R&D 담금질 계획 - (제약) 경구 제제 과립화 AI 응용 실증 분야,A+企業創新研發淬鍊計畫－(製藥)口服製劑造粒AI應用示範場域,https://service.moea.gov.tw/EE514/tw/aiip/561.html,2026-02-04
대만,moda,기타 ICT 일반,2025-12-06,코퍼스 데이터 세트,語料資料集,https://taic.moda.gov.tw/datasets?query=%E6%A8%82%E9%BD%A1%E9%81%8B%E5%8B%95,2026-02-04
대만,moda,1. 융합 및 하이테크,2025-12-23,대만 주권 AI 훈련 코퍼스(베타 버전),臺灣主權 AI 訓練語料庫 ( Beta 版),https://taic.moda.gov.tw/,2026-02-04
대한민국,과학기술정보통신부,2. IT 및 통신,2024-08-22,과학기술정보통신부 시무식 (10:00,과학기술정보통신부 시무식 (10:00,https://www.msit.go.kr/user/mnstrSchdl/vcmnstrScnceTchnlgyInvDate.do,2026-02-04
