발행일,문서종류,관련부처,제목(한글),제목(영문),원문링크
2025-12-23,Presidential Document,Executive Office of the President,2025년 12월 24일 및 2025년 12월 26일에 연방 정부의 행정부 및 기관 폐쇄 규정,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2025, and December 26, 2025",https://www.federalregister.gov/documents/2025/12/23/2025-23847/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on
2025-12-23,Presidential Document,Executive Office of the President,의료용 마리화나 및 칸나비디올 연구 증가,Increasing Medical Marijuana and Cannabidiol Research,https://www.federalregister.gov/documents/2025/12/23/2025-23846/increasing-medical-marijuana-and-cannabidiol-research
2025-12-23,Presidential Document,Executive Office of the President,미국의 우주 우월성 보장,Ensuring American Space Superiority,https://www.federalregister.gov/documents/2025/12/23/2025-23845/ensuring-american-space-superiority
2025-12-23,Presidential Document,Executive Office of the President,특정 급여율 조정,Adjustments of Certain Rates of Pay,https://www.federalregister.gov/documents/2025/12/23/2025-23844/adjustments-of-certain-rates-of-pay
2025-12-19,Presidential Document,Executive Office of the President,미국의 안보를 보호하기 위해 외국인 입국 제한 및 제한,Restricting and Limiting the Entry of Foreign Nationals To Protect the Security of the United States,https://www.federalregister.gov/documents/2025/12/19/2025-23570/restricting-and-limiting-the-entry-of-foreign-nationals-to-protect-the-security-of-the-united-states
2025-12-19,Presidential Document,Executive Office of the President,인신매매에 관한 외국 정부의 노력에 관한 대통령 결정,Presidential Determination With Respect to the Efforts of Foreign Governments Regarding Trafficking in Persons,https://www.federalregister.gov/documents/2025/12/19/2025-23569/presidential-determination-with-respect-to-the-efforts-of-foreign-governments-regarding-trafficking
2025-12-19,Presidential Document,Executive Office of the President,2024년 자유 협회 개정 협약 섹션 208(d)(6)에 따른 권한 위임,Delegation of Authority Under Section 208(d)(6) of the Compact of Free Association Amendments Act of 2024,https://www.federalregister.gov/documents/2025/12/19/2025-23568/delegation-of-authority-under-section-208d6-of-the-compact-of-free-association-amendments-act-of
2025-12-19,Presidential Document,Executive Office of the President,2012 회계연도 국방수권법 1245(d)(4)(B) 및 (C)항에 따른 대통령 결정,Presidential Determination Pursuant to Section 1245(d)(4)(B) and (C) of the National Defense Authorization Act for Fiscal Year 2012,https://www.federalregister.gov/documents/2025/12/19/2025-23567/presidential-determination-pursuant-to-section-1245d4b-and-c-of-the-national-defense-authorization
2025-12-18,Presidential Document,Executive Office of the President,펜타닐을 대량 살상 무기로 지정,Designating Fentanyl as a Weapon of Mass Destruction,https://www.federalregister.gov/documents/2025/12/18/2025-23417/designating-fentanyl-as-a-weapon-of-mass-destruction
2025-12-18,Presidential Document,Executive Office of the President,"권리장전의 날, 2025년","Bill of Rights Day, 2025",https://www.federalregister.gov/documents/2025/12/18/2025-23416/bill-of-rights-day-2025
2025-12-16,Presidential Document,Executive Office of the President,외국인 소유 및 정치적 동기를 지닌 의결권 자문가로부터 미국 투자자 보호,Protecting American Investors From Foreign-Owned and Politically-Motivated Proxy Advisors,https://www.federalregister.gov/documents/2025/12/16/2025-23093/protecting-american-investors-from-foreign-owned-and-politically-motivated-proxy-advisors
2025-12-16,Presidential Document,Executive Office of the President,인공지능에 대한 국가 정책 프레임워크 보장,Ensuring a National Policy Framework for Artificial Intelligence,https://www.federalregister.gov/documents/2025/12/16/2025-23092/ensuring-a-national-policy-framework-for-artificial-intelligence
