Date,Type,ICT_Category,Matched_Keywords,Policy_Title,Link
2025-12-23,Presidential Document,General/Other,,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2025, and December 26, 2025",https://www.federalregister.gov/documents/2025/12/23/2025-23847/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on
2025-12-23,Presidential Document,17. Mobile Wireless,Spectrum,Increasing Medical Marijuana and Cannabidiol Research,https://www.federalregister.gov/documents/2025/12/23/2025-23846/increasing-medical-marijuana-and-cannabidiol-research
2025-12-23,Presidential Document,"17. Mobile Wireless, 37. Energy/Utility","Spectrum, Nuclear",Ensuring American Space Superiority,https://www.federalregister.gov/documents/2025/12/23/2025-23845/ensuring-american-space-superiority
2025-12-23,Presidential Document,General/Other,,Adjustments of Certain Rates of Pay,https://www.federalregister.gov/documents/2025/12/23/2025-23844/adjustments-of-certain-rates-of-pay
2025-12-19,Presidential Document,16. Mobile Device,SoC,Restricting and Limiting the Entry of Foreign Nationals To Protect the Security of the United States,https://www.federalregister.gov/documents/2025/12/19/2025-23570/restricting-and-limiting-the-entry-of-foreign-nationals-to-protect-the-security-of-the-united-states
2025-12-19,Presidential Document,General/Other,,Presidential Determination With Respect to the Efforts of Foreign Governments Regarding Trafficking in Persons,https://www.federalregister.gov/documents/2025/12/19/2025-23569/presidential-determination-with-respect-to-the-efforts-of-foreign-governments-regarding-trafficking
2025-12-19,Presidential Document,16. Mobile Device,SoC,Delegation of Authority Under Section 208(d)(6) of the Compact of Free Association Amendments Act of 2024,https://www.federalregister.gov/documents/2025/12/19/2025-23568/delegation-of-authority-under-section-208d6-of-the-compact-of-free-association-amendments-act-of
2025-12-19,Presidential Document,16. Mobile Device,SoC,Presidential Determination Pursuant to Section 1245(d)(4)(B) and (C) of the National Defense Authorization Act for Fiscal Year 2012,https://www.federalregister.gov/documents/2025/12/19/2025-23567/presidential-determination-pursuant-to-section-1245d4b-and-c-of-the-national-defense-authorization
2025-12-18,Presidential Document,17. Mobile Wireless,Spectrum,Designating Fentanyl as a Weapon of Mass Destruction,https://www.federalregister.gov/documents/2025/12/18/2025-23417/designating-fentanyl-as-a-weapon-of-mass-destruction
2025-12-18,Presidential Document,6. Blockchain,RWA,"Bill of Rights Day, 2025",https://www.federalregister.gov/documents/2025/12/18/2025-23416/bill-of-rights-day-2025
2025-12-16,Presidential Document,"16. Mobile Device, 21. Regulation","SoC, Antitrust",Protecting American Investors From Foreign-Owned and Politically-Motivated Proxy Advisors,https://www.federalregister.gov/documents/2025/12/16/2025-23093/protecting-american-investors-from-foreign-owned-and-politically-motivated-proxy-advisors
2025-12-16,Presidential Document,"4. AI, 30. Content Platform","Artificial Intelligence, Algorithm",Ensuring a National Policy Framework for Artificial Intelligence,https://www.federalregister.gov/documents/2025/12/16/2025-23092/ensuring-a-national-policy-framework-for-artificial-intelligence
