국가,기관,발행일,제목,원문,링크,수집일
프랑스,Bercy,2026-02-03,기자 회견,Conférence de presse,https://presse.economie.gouv.fr/conference-de-presse-presidence-francaise-du-g7-filieres-finances-et-numerique/,2026-02-04
일본,MIC,2026-02-02,"보도 자료 | 노인 및 장애인을 위한 새로운 ICT 기기 연구개발 보조금 ""정보격차 해소를 위한 기술 연구개발 촉진 사업"" 적격사업 공모",報道資料｜高齢者・障害者向けの新たなICT機器等の研究開発に対する補助金 「デジタル・ディバイド解消のための技術等研究開発推進事業」 対象事業の公募,https://www.soumu.go.jp/menu_news/s-news/01ryutsu05_02000182.html,2026-02-04
일본,METI,2026-02-02,Sakana AI는 왜 유니콘이 되었나요?일본 딥테크의 혁신적 도전은 무엇일까…,Sakana AIはなぜユニコーンとなったのか。日本発ディープテックの革新的な挑戦とは…,https://journal.meti.go.jp/policy/202601/44028/,2026-02-04
캐나다,ISED,2026-02-02,캐나다의 다음 AI 전략에 대한 참여: 의견 요약,Engagements on Canada’s next AI Strategy: Summary of inputs,https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,2026-02-04
프랑스,Bercy,2026-02-02,경제재정부,MINISTERE DE L'ECONOMIE ET DES FINANCES,https://passerelles.economie.gouv.fr/offre-de-emploi/emploi-sec-gen-responsable-de-produit-numerique-product-owner-h-f_28356.aspx,2026-02-04
일본,MIC,2026-02-01,1.2 제안된 AI 가이드라인은 사회적 구현이 진행되고 위협이 나타나기 시작하는 대규모 AI를 대상으로 합니다.,1.2 対象とする AI ガイドライン案では、社会実装が進み、脅威が顕在化し始めてい る大規模言,https://www.soumu.go.jp/main_content/001051813.pdf,2026-02-04
대만,moda,2026-02-01,"대만-미국 경제 번영 파트너십 대화로 디지털 협력 심화 디지털개발부, AI 개발 전략 조율 촉진 | 보도 자료",台美經濟繁榮夥伴對話深化數位合作 數發部推進AI發展戰略對接｜新聞發布,https://moda.gov.tw/press/press-releases/18812.html,2026-02-04
대한민국,과학기술정보통신부,2026-01-31,게시판 인쇄,게시판 인쇄,https://www.msit.go.kr/ssm/comm/bbsViewPrintPop.do;jsessionid=ei6WTk9cQYlIAaWlgnop7e2pNHuKUYsv8yu4GD13.AP_msit_2?bbsSeqNo=94&nttSeqNo=3180407,2026-02-04
프랑스,DG Entreprises,2026-01-31,"DRIEETS IDF / 프로젝트 매니저 – AI, 디지털 생태계 및 영토 개발 M/F","DRIEETS IDF /Chargé(e) de mission – IA, Écosystèmes Numériques et Développement Territorial H/F",https://www.entreprises.gouv.fr/node/9057,2026-02-04
프랑스,DG Entreprises,2026-01-31,이중용도 물품 서비스,Service des biens à double usage,https://www.entreprises.gouv.fr/semaine-des-metiers-du-tourisme/du-stade-vers-lemploi-dsve-2025-5394656,2026-02-04
호주,DISR,2026-01-31,GovAI Summit 2026: AI 활용,GovAI Summit 2026: AI in Action,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/govai-summit-2026-ai-action,2026-02-04
프랑스,Bercy,2026-01-30,데이터 센터 회의: 디지털 인프라 프로젝트의 역학 확인,Rencontres des centres de données : la dynamique des projets d’infrastructures numériques se confirme,https://www.economie.gouv.fr/actualites/rencontres-des-centres-de-donnees-la-dynamique-des-projets-dinfrastructures-numeriques-se-confirme,2026-02-04
프랑스,DG Entreprises,2026-01-30,데이터 센터 회의: Paris AI Action Summit이 끝난 지 약 1년 후 Anne Le Hénanff가 Bercy에서 플레이어들을 한자리에 모았습니다.,"Rencontres des Centres de données : près d’un an après le Sommet pour l’action sur l’IA de Paris, Anne Le Hénanff réunit les acteurs à Bercy",https://www.entreprises.gouv.fr/espace-presse/rencontres-des-centres-de-donnees-pres-dun-apres-le-sommet-pour-laction-sur-lia-de,2026-02-04
일본,MIC,2026-01-28,제51대 중의원 총선거 후보자/목록 통보된 정당 등 정보 중의원에 등록된 정당 등의 명칭 및 약칭 목록(전체 선거구),第51回 衆議院議員総選挙 候補者・名簿届出政党等情報 衆議院名簿届出政党等（全選挙区）の名称及び略称の一覧表,https://www.soumu.go.jp/senkyo/51ge/hirei_all.html,2026-02-04
스위스,WBF,2026-01-28,AI Summit 2027: 스위스는 행사 개최 의지를 나타냄,AI Summit 2027: Switzerland indicates willingness to host event,https://www.wbf.admin.ch/en/newnsb/fVHic4Zdu8Sd1ZLKT3X6g,2026-02-04
이스라엘,IIA,2026-01-28,인공지능이 첨단기술 고용에 미치는 영향,השפעת הבינה המלאכותית על התעסוקה בהייטק,https://innovationisrael.org.il/wp-content/uploads/2026/01/Employers-Survey-Repor-2026.pdf,2026-02-04
대만,MOEA,2026-01-28,"대만-미국 경제번영동반자대화(EPPD) 회의가 성공적으로 끝났고, 양측은 대만과 미국이 심화하기 위한 7가지 공감대를 달성했습니다. 처지.",臺美經濟繁榮夥伴對話（EPPD）會議圓滿落幕 雙方達成七項共識深化台美關係,https://www.moea.gov.tw/Mns/populace/news/News.aspx?kind=1&menu_id=40&news_id=121722,2026-02-04
대만,MOEA,2026-01-28,경제부는 투자 유치에 있어 유익한 성과를 거두었으며 투자 모멘텀은 지속적으로 확대되고 있습니다.,經濟部招商成果豐碩 投資動能持續擴大,https://www.moea.gov.tw/MNS/populace/news/News.aspx?kind=1&menu_id=40&news_id=121723,2026-02-04
대한민국,산업통상자원부,2026-01-26,"산업부, 산업혁신기반구축사업에 2,685억원 지원하여 AI 기반 제조 혁신 가속화","산업부, 산업혁신기반구축사업에 2,685억원 지원하여 AI 기반 제조 혁신 가속화",https://motie.go.kr/kor/article/ATCL3f49a5a8c/171466/view,2026-02-04
사우디,MCIT,2026-01-24,"정보통신부 장관, LEAP22에서 글로벌 ICT 리더들과 간담회",Minister for Communications and Information Technology Holds Discussions with Global ICT Leaders at LEAP22,https://www.mcit.gov.sa/index.php/en/node/24799/translations,2026-02-04
싱가포르,MDDI,2026-01-22,ASME(Association of Small and Medium Enterprises) AI 페스티벌 아시아 2026에서 MOS Jasmin Lau의 개회사,Opening Address by MOS Jasmin Lau at the Association of Small and Medium Enterprises (ASME)’s AI Festival Asia 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-the-association-of-small-and-medium-enterprises--asme--s-ai-festival-asia-2026/,2026-02-04
싱가포르,MDDI,2026-01-22,"싱가포르, Agentic AI를 위한 새로운 모델 AI 거버넌스 프레임워크 출시",Singapore Launches New Model AI Governance Framework for Agentic AI,https://www.mddi.gov.sg/newsroom/singapore-launches-new-model-ai-governance-framework-for-agentic-ai--/,2026-02-04
싱가포르,IMDA,2026-01-22,기술 향상을 통해 AI 혁신을 촉진하는 방법,How Upskilling Talent Powers AI Transformation,https://www.imda.gov.sg/resources/blog/blog-articles/2026/01/how-upskilling-talent-powers-ai-transformation,2026-02-04
호주,DISR,2026-01-22,AI와 내부 커뮤니케이션,AI and Internal Communication,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/ai-and-internal-communication,2026-02-04
호주,DISR,2026-01-22,AI PowerEd: 학교 서밋의 책임 있는 AI,AI PowerEd: Responsible AI in Schools Summit,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/ai-powered-responsible-ai-schools-summit,2026-02-04
일본,METI,2026-01-21,제1회 AI로봇 전략 검토 컨퍼런스,第1回 AIロボティクス戦略検討会議,https://www.meti.go.jp/shingikai/mono_info_service/ai_robotics_strategy/001.html,2026-02-04
