국가,기관,발행일,제목,원문,링크,수집일
대한민국,과학기술정보통신부,2026-02-03,Press Releases,Press Releases,https://www.msit.go.kr/eng/bbs/view.do?sCode=eng&mId=4&bbsSeqNo=42&nttSeqNo=668,2026-02-04
일본,MIC,2026-02-03,보도 자료 | 2020년도 추가예산/2020년도 당초예산 “창업창출형 탐색적 R&D 지원사업” 연구실시자 공개모집,報道資料｜令和7年度補正・令和8年度当初予算 「スタートアップ創出型萌芽的研究開発支援事業」研究実施者の公募,https://www.soumu.go.jp/menu_news/s-news/01tsushin03_02000443.html,2026-02-04
싱가포르,MDDI,2026-02-02,SG Ready 2026 훈련 개시 및 종합방위 기념행사에서 Josephine Teo 장관의 개회사,Opening Speech by Minister Josephine Teo at the launch of Exercise SG Ready 2026 and Total Defence Commemoration Event,https://www.mddi.gov.sg/newsroom/opening-speech-by-minister-josephine-teo-at-the-launch-of-exercise-sg-ready-2026-and-total-defence-commemoration-event/,2026-02-04
일본,MIC,2026-02-02,"보도 자료 | 노인 및 장애인을 위한 새로운 ICT 기기 연구개발 보조금 ""정보격차 해소를 위한 기술 연구개발 촉진 사업"" 적격사업 공모",報道資料｜高齢者・障害者向けの新たなICT機器等の研究開発に対する補助金 「デジタル・ディバイド解消のための技術等研究開発推進事業」 対象事業の公募,https://www.soumu.go.jp/menu_news/s-news/01ryutsu05_02000182.html,2026-02-04
일본,METI,2026-02-02,Sakana AI는 왜 유니콘이 되었나요?일본 딥테크의 혁신적 도전은 무엇일까…,Sakana AIはなぜユニコーンとなったのか。日本発ディープテックの革新的な挑戦とは…,https://journal.meti.go.jp/policy/202601/44028/,2026-02-04
영국,DSIT,2026-02-02,최고정보책임자,Chief Information Officer,https://findajob.dwp.gov.uk/details/17819559,2026-02-04
캐나다,ISED,2026-02-02,캐나다의 다음 AI 전략에 대한 참여: 의견 요약,Engagements on Canada’s next AI Strategy: Summary of inputs,https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,2026-02-04
핀란드,LVM,2026-01-31,하쿠,Haku,https://lvm.fi/haku?q=computers,2026-02-04
호주,DISR,2026-01-31,GovAI Summit 2026: AI 활용,GovAI Summit 2026: AI in Action,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/govai-summit-2026-ai-action,2026-02-04
대한민국,과학기술정보통신부,2026-01-30,게시판 인쇄,게시판 인쇄,https://www.msit.go.kr/ssm/comm/bbsViewPrintPop.do;jsessionid=jkvpzWDtEffjGwAEAXwoRV9RTMwvbaHso34PnlTB.AP_msit_2?bbsSeqNo=94&nttSeqNo=2104257,2026-02-04
일본,MIC,2026-01-30,보도 자료 | 레이와 8 “봄의 안신 넷·개학 액션” 대책,報道資料｜令和8年「春のあんしんネット・新学期一斉行動」の取組,https://www.soumu.go.jp/menu_news/s-news/01ryutsu20_02000001_00024.html,2026-02-04
일본,MIC,2026-01-30,홋카이도 종합통신국 | 2020년 “봄철 안전망/개학 동시 조치” 이니셔티브,北海道総合通信局｜令和8年「春のあんしんネット・新学期一斉行動」の取組,https://www.soumu.go.jp/soutsu/hokkaido/2026/0130a.html,2026-02-04
노르웨이,KDD,2026-01-30,행정자치부 장관 프로스퍼 AI 방문,Digitaliserings- og forvaltningsministeren besøker Prosper AI,https://www.regjeringen.no/no/aktuelt/digitaliserings-og-forvaltningsministeren-besoker-prosper-ai/id3147649/,2026-02-04
노르웨이,KDD,2026-01-30,노르웨이의 디지털 건강 서비스 이용률 높음,Høg bruk av digitale helsetenester i Noreg,https://www.regjeringen.no/no/aktuelt/hog-bruk-av-digitale-helsetenester-i-noreg/id3147569/,2026-02-04
호주,DISR,2026-01-30,코솔,COSOL,https://aidirectory.industry.gov.au/organisation/cosol,2026-02-04
싱가포르,MDDI,2026-01-29,NTUC LearningHub Human+ Symposium 2026에서 Josephine Teo 장관의 연설,Speech by Minister Josephine Teo at NTUC LearningHub Human+ Symposium 2026,https://www.mddi.gov.sg/newsroom/speech-by-minister-josephine-teo-at-ntuc-learninghub-human--symposium-2026,2026-02-04
핀란드,LVM,2026-01-29,정부는 EU 디지털 규제를 단순화하려는 위원회의 목표를 지지합니다.,Government supports Commission’s objective to simplify EU digital regulation,https://lvm.fi/en/-/government-supports-commission-s-objective-to-simplify-eu-digital-regulation?languageId=fi_FI,2026-02-04
