국가,기관,발행일,제목,원문,링크,수집일
미국,백악관,2025-01-23,인공 지능 분야에서 미국의 리더십에 대한 장벽 제거,REMOVING BARRIERS TO AMERICAN LEADERSHIP IN ARTIFICIAL INTELLIGENCE,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,2026-02-04
미국,백악관,2025-05-23,국가 안보를 위한 첨단 원자로 기술 배치,DEPLOYING ADVANCED NUCLEAR REACTOR TECHNOLOGIES FOR NATIONAL SECURITY,https://www.whitehouse.gov/presidential-actions/2025/05/deploying-advanced-nuclear-reactor-technologies-for-national-security/,2026-02-04
미국,백악관,2025-06-30,미국의 젊은이들에 대한 서약,Pledge to America’s Youth,https://www.whitehouse.gov/edai/,2026-02-04
미국,DOC,2026-01-15,팩트시트: 대만과의 무역 및 투자 협정을 통해 미국 반도체 제조 리더십 회복,Fact Sheet: Restoring American Semiconductor Manufacturing Leadership Through an Agreement on Trade & Investment with Taiwan,https://www.commerce.gov/news/fact-sheets/2026/01/fact-sheet-restoring-american-semiconductor-manufacturing-leadership,2026-02-04
미국,DOC,2024-04-24,"미국 상무부와 케냐 정보통신 및 디지털 경제부 간 인공 지능 활용, 데이터 흐름 촉진, 디지털 기술 강화에 관한 공동 성명서","Joint Statement on Harnessing Artificial Intelligence, Facilitating Data Flows and Empowering Digital Upskilling Between the United States Department of Commerce and the Kenyan Ministry of Information, Communication and the Digital Economy",https://www.commerce.gov/news/press-releases/2024/04/joint-statement-harnessing-artificial-intelligence-facilitating-data,2026-02-04
미국,DOC,2024-05-21,"지나 라이몬도(Gina Raimondo) 미 상무장관, AI 안전에 관한 전략적 비전 발표, AI 안전 연구소 간 글로벌 협력 계획 발표","U.S. Secretary of Commerce Gina Raimondo Releases Strategic Vision on AI Safety, Announces Plan for Global Cooperation Among AI Safety Institutes",https://www.commerce.gov/news/press-releases/2024/05/us-secretary-commerce-gina-raimondo-releases-strategic-vision-ai-safety,2026-02-04
미국,NTIA,2024-03-27,AI 책임 정책 보고서,AI Accountability Policy Report,https://www.ntia.gov/issues/artificial-intelligence/ai-accountability-policy-report,2026-02-04
미국,NTIA,2024-08-02,인공 지능을 통한 9-1-1 운영 개선,Improving 9-1-1 Operations with Artificial Intelligence,https://www.ntia.gov/category/next-generation-911/improving-911-operations-with-artificial-intelligence,2026-02-04
미국,NTIA,2024-01-11,국가 스펙트럼 전략,National Spectrum Strategy,https://www.ntia.gov/sites/default/files/frontier-foundry-written-input.pdf,2026-02-04
중국,CAC,2025-09-28,중국-아프리카 사이버 공간 운명공동체 공동 구축 행동 계획(2025-2026),Plan of Actions on Jointly Building a China-Africa Community with a Shared Future in Cyberspace（2025-2026）,https://www.cac.gov.cn/2025-09/28/c_1760606713169654.htm,2026-02-04
중국,CAC,2024-04-03,2024 중국-아프리카 인터넷 개발 및 협력 포럼 의장의 중국-아프리카 AI 협력에 관한 성명,2024 China-Africa Internet Development and Cooperation Forum Chair´s Statement on China-Africa Cooperation on AI,https://www.cac.gov.cn/2024-04/03/c_1713731793842754.htm,2026-02-04
중국,CAC,2025-12-04,디지털 거버넌스에 대한 중국-아세안 협력 심화를 위한 중국의 이니셔티브,China's Initiative on Deepening China-ASEAN Cooperation on Digital Governance,https://www.cac.gov.cn/2025-12/04/c_1766577618173846.htm,2026-02-04
대한민국,과학기술정보통신부,2024-12-13,Science & ICT Trends,Science & ICT Trends,https://www.msit.go.kr/eng/bbs/list.do?sCode=eng&mPid=2&mId=7,2026-02-04
대한민국,과학기술정보통신부,2024-07-08,Science & ICT Trends,Science & ICT Trends,https://www.msit.go.kr/eng/bbs/view.do;jsessionid=Fu90vZyN6_KSxEKvY6fkqppkf1MQMkEwgyJZc8ww.AP_msit_2?sCode=eng&mPid=2&mId=7&bbsSeqNo=44&nttSeqNo=195,2026-02-04
싱가포르,MDDI,2026-01-22,중소기업협회(ASME) AI 페스티벌 아시아 2026에서 MOS Jasmin Lau의 개회사,Opening Address by MOS Jasmin Lau at the Association of Small and Medium Enterprises (ASME)’s AI Festival Asia 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-the-association-of-small-and-medium-enterprises--asme--s-ai-festival-asia-2026/,2026-02-04
싱가포르,MDDI,2026-01-24,싱가포르는 AI 연구 역량과 글로벌 AI 허브로서의 입지를 강화하기 위해 국가 AI 연구 개발 계획에 10억 싱가포르 달러 이상을 투자합니다.,Singapore Invests Over S$1 billion in National AI Research and Development Plan to Strengthen AI Research Capabilities and Our Position as Global AI Hub,https://www.mddi.gov.sg/newsroom/singapore-invests-over-s-1-billion-in-national-ai-research-and-development-plan-to-strengthen-ai-research-capabilities-and-our-position-as-global-ai-hub/,2026-02-04
싱가포르,MDDI,2026-01-24,싱가포르 AI 연구 주간 갈라 디너에서 Josephine Teo 장관의 개회사,Opening Remarks by Minister Josephine Teo at Singapore AI Research Week Gala Dinner,https://www.mddi.gov.sg/newsroom/opening-remarks-by-minister-josephine-teo-at-singapore-ai-research-week-gala-dinner/,2026-02-04
싱가포르,IMDA,2026-01-22,"싱가포르, Agentic AI를 위한 새로운 모델 AI 거버넌스 프레임워크 출시",Singapore Launches New Model AI Governance Framework for Agentic AI,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/new-model-ai-governance-framework-for-agentic-ai,2026-02-04
싱가포르,IMDA,2026-01-22,기술 향상을 통해 AI 혁신을 촉진하는 방법,How Upskilling Talent Powers AI Transformation,https://www.imda.gov.sg/resources/blog/blog-articles/2026/01/how-upskilling-talent-powers-ai-transformation,2026-02-04
싱가포르,IMDA,2026-01-19,에이전트 AI를 위한 모델 AI 거버넌스 프레임워크,MODEL AI GOVERNANCE FRAMEWORK FOR AGENTIC AI,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,2026-02-04
일본,MIC,2025-12-10,ICT × 일본,ICT × Japan,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/newsletter/pdf/vol36/no11.pdf,2026-02-04
일본,MIC,2025-12-22,제9회 자동번역심포지엄 AI번역으로 일본을 세계로,The 9th Automatic Translation Symposium: Bringing Japan to the World through AI Translation,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/pressrelease/2025/12/22_1.html,2026-02-04
일본,MIC,2025-12-22,ICT × 일본,ICT × Japan,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/newsletter/pdf/vol36/no12.pdf,2026-02-04
