국가,기관,발행일,제목,원문,링크,수집일
UAE,TDRA,2026-01-12,ICT 규제 샌드박스,ICT Regulatory Sandbox,https://tdra.gov.ae/pages/-/media/ICT-Regulatory-Sandbox-Guidelines/ICT-Regulatory-Sandbox-Final-Ar.pdf,2026-02-04
UAE,TDRA,2026-01-25,ICT 펀드 소식 9월 22일,ICT Fund News Sep22,https://tdra.gov.ae/-/media/ICTFund/News/Newsletter/ICT-Fund-News-Sep22.ashx?c=newsletter&t=Newsletter+-+September+2022+%28Available+in+Arabic+Only%29,2026-02-04
네덜란드,EZK,2024-03-19,누구나 곧 디지털 VOG를 이용할 수 있습니다.,Digital VOG available soon for everyone,https://www.government.nl/latest/news/2024/03/19/digital-vog-available-soon-for-everyone,2026-02-04
네덜란드,EZK,2025-01-20,네덜란드 자동차 교통 보장 기금(Dutch Motor Traffic Guarantee Fund)에 청구하기,Making a claim with the Dutch Motor Traffic Guarantee Fund (Waarborgfonds Motorverkeer),https://www.government.nl/topics/vehicles/making-a-claim-with-the-dutch-motor-traffic-guarantee-fund,2026-02-04
노르웨이,KDD,2024-11-04,미래의 디지털 노르웨이,The Digital Norway of the Future,https://www.regjeringen.no/en/dokumenter/the-digital-norway-of-the-future/id3054645/?ch=3,2026-02-04
노르웨이,KDD,2025-02-11,"노르웨이, 지속 가능한 AI를 위한 국제 연합에 합류",Norway joins international coalition for sustainable AI,https://www.regjeringen.no/en/whats-new/norway-joins-international-coalition-for-sustainable-ai/id3087149/,2026-02-04
대만,moda,2025-12-23,대만 주권 AI 훈련 코퍼스(베타 버전),臺灣主權 AI 訓練語料庫 ( Beta 版),https://taic.moda.gov.tw/,2026-02-04
대만,moda,2026-02-01,"대만-미국 경제 번영 파트너십 대화로 디지털 협력 심화 디지털개발부, AI 개발 전략 조율 촉진 | 보도 자료",台美經濟繁榮夥伴對話深化數位合作 數發部推進AI發展戰略對接｜新聞發布,https://moda.gov.tw/press/press-releases/18812.html,2026-02-04
대한민국,산업통상자원부,2025-05-20,찾아가 AI 전환 지원…‘산업단지 AX 카라반’ 출범,찾아가 AI 전환 지원…‘산업단지 AX 카라반’ 출범,https://motie.go.kr/kor/article/ATCL8764a1224/155118874/view,2026-02-04
대한민국,산업통상자원부,2025-07-02,AI 고속도로 구축 및 AI 3대 강국 도약 기반 마련,AI 고속도로 구축 및 AI 3대 강국 도약 기반 마련,https://motie.go.kr/kor/article/ATCL4fcf3d8c6/520/view,2026-02-04
덴마크,DIGST,2025-07-07,EU/EEA에서 디지털 셀프 서비스 및 eID 사용,Using digital self-services and eID across the EU/EEA,https://en.digst.dk/systems/eid-and-single-digital-gateway/using-digital-self-services-and-eid-across-the-eueea/,2026-02-04
덴마크,DIGST,2025-10-31,Gaia-X Hub 덴마크에 오신 것을 환영합니다.,Welcome to Gaia-X Hub Denmark,https://en.digst.dk/policy/international-cooperation/gaia-x/,2026-02-04
미국,DOC,2024-11-19,"CHIPS for America는 노스캐롤라이나에 본사를 둔 CHIPS Manufacturing USA Institute for Digital Twins에 대해 2억 8,500만 달러의 새로운 상금 제안을 발표했습니다.","CHIPS for America Announces New Proposed $285 Million Award for CHIPS Manufacturing USA Institute for Digital Twins, Headquartered in North Carolina",https://www.commerce.gov/news/press-releases/2024/11/chips-america-announces-new-proposed-285-million-award-chips,2026-02-04
미국,DOC,2026-01-15,팩트시트: 대만과의 무역 및 투자 협정을 통해 미국 반도체 제조 리더십 회복,Fact Sheet: Restoring American Semiconductor Manufacturing Leadership Through an Agreement on Trade & Investment with Taiwan,https://www.commerce.gov/news/fact-sheets/2026/01/fact-sheet-restoring-american-semiconductor-manufacturing-leadership,2026-02-04
미국,NTIA,2024-03-27,AI 책임 정책 보고서,AI Accountability Policy Report,https://www.ntia.gov/issues/artificial-intelligence/ai-accountability-policy-report,2026-02-04
미국,NTIA,2024-08-23,5장: 디지털 세대: 젊은이들이 컴퓨터와 인터넷을 어떻게 받아들였는가,Chapter 5: The Digital Generation: How Young People Have Embraced Computers And The Internet,https://www.ntia.gov/sites/default/files/data/dn/html/Chapter5.htm,2026-02-04
미국,백악관,2025-12-16,미국의 안보를 보호하기 위해 외국인의 입국을 제한하고 있습니다.,Restricting and Limiting the Entry of Foreign Nationals to Protect the Security of the United States,https://www.whitehouse.gov/presidential-actions/2025/12/restricting-and-limiting-the-entry-of-foreign-nationals-to-protect-the-security-of-the-united-states/,2026-02-04
미국,백악관,2026-01-30,트럼프 대통령의 케빈 워시 연준의장 지명에 대한 큰 호평,Wide Acclaim for President Trump’s Nomination of Kevin Warsh as Fed Chair,https://www.whitehouse.gov/articles/2026/01/wide-acclaim-for-president-trumps-nomination-of-kevin-warsh-as-fed-chair/,2026-02-04
