국가,기관,발행일,제목,원문,링크,수집일
일본,MIC,2026-02-02,"보도 자료 | 노인 및 장애인을 위한 새로운 ICT 기기 연구개발 보조금 ""정보격차 해소를 위한 기술 연구개발 촉진 사업"" 적격사업 공모",報道資料｜高齢者・障害者向けの新たなICT機器等の研究開発に対する補助金 「デジタル・ディバイド解消のための技術等研究開発推進事業」 対象事業の公募,https://www.soumu.go.jp/menu_news/s-news/01ryutsu05_02000182.html,2026-02-04
일본,METI,2026-02-02,Sakana AI는 왜 유니콘이 되었나요?일본 딥테크의 혁신적 도전은 무엇일까…,Sakana AIはなぜユニコーンとなったのか。日本発ディープテックの革新的な挑戦とは…,https://journal.meti.go.jp/policy/202601/44028/,2026-02-04
캐나다,ISED,2026-02-02,캐나다의 다음 AI 전략에 대한 참여: 의견 요약,Engagements on Canada’s next AI Strategy: Summary of inputs,https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,2026-02-04
대한민국,과학기술정보통신부,2026-01-30,게시판 인쇄,게시판 인쇄,https://www.msit.go.kr/ssm/comm/bbsViewPrintPop.do;jsessionid=jkvpzWDtEffjGwAEAXwoRV9RTMwvbaHso34PnlTB.AP_msit_2?bbsSeqNo=94&nttSeqNo=2104257,2026-02-04
노르웨이,KDD,2026-01-30,행정자치부 장관 프로스퍼 AI 방문,Digitaliserings- og forvaltningsministeren besøker Prosper AI,https://www.regjeringen.no/no/aktuelt/digitaliserings-og-forvaltningsministeren-besoker-prosper-ai/id3147649/,2026-02-04
호주,DISR,2026-01-30,코솔,COSOL,https://aidirectory.industry.gov.au/organisation/cosol,2026-02-04
싱가포르,MDDI,2026-01-29,NTUC LearningHub Human+ Symposium 2026에서 Josephine Teo 장관의 연설,Speech by Minister Josephine Teo at NTUC LearningHub Human+ Symposium 2026,https://www.mddi.gov.sg/newsroom/speech-by-minister-josephine-teo-at-ntuc-learninghub-human--symposium-2026,2026-02-04
핀란드,LVM,2026-01-29,정부는 EU 디지털 규제를 단순화하려는 위원회의 목표를 지지합니다.,Government supports Commission’s objective to simplify EU digital regulation,https://lvm.fi/en/-/government-supports-commission-s-objective-to-simplify-eu-digital-regulation?languageId=fi_FI,2026-02-04
노르웨이,KDD,2026-01-29,디지털 역량의 미래 필요성에 관한 새로운 보고서,Ny rapport om framtidens behov for digital kompetanse,https://www.regjeringen.no/no/aktuelt/ny-rapport-om-framtidens-behov-for-digital-kompetanse/id3147542/,2026-02-04
프랑스,Bercy,2026-01-29,초과 예약: 탑승이 거부된 경우 귀하의 권리는 무엇입니까?,Surréservation : quels sont vos droits si l'embarquement vous est refusé ?,https://www.economie.gouv.fr/particuliers/voyager-et-se-deplacer/surreservation-quels-sont-vos-droits-si-lembarquement-vous-est-refuse,2026-02-04
이스라엘,IIA,2026-01-28,인공지능이 첨단기술 고용에 미치는 영향,השפעת הבינה המלאכותית על התעסוקה בהייטק,https://innovationisrael.org.il/wp-content/uploads/2026/01/Employers-Survey-Repor-2026.pdf,2026-02-04
일본,MIC,2026-01-26,ICT 서비스 이용환경 개선을 위한 연구회(9차 회의),ICTサービスの利用環境の整備に関する研究会（第9回）,https://www.soumu.go.jp/main_sosiki/kenkyu/ICT_services/02kiban18_02000466.html,2026-02-04
UAE,TDRA,2026-01-25,ICT 펀드 소식 9월 22일,ICT Fund News Sep22,https://tdra.gov.ae/-/media/ICTFund/News/Newsletter/ICT-Fund-News-Sep22.ashx?c=newsletter&t=Newsletter+-+September+2022+%28Available+in+Arabic+Only%29,2026-02-04
사우디,MCIT,2026-01-24,"알 사와하(Al-Sawaha), 일본 디지털 혁신부 장관과 디지털 정부 및 인공지능 분야 파트너십 확대 논의",السواحه يناقش مع وزير التحول الرقمي في اليابان توسيع الشراكة في الحكومة الرقمية والذكاء الاصطناعي,https://www.mcit.gov.sa/ar/node/237475/translations,2026-02-04
핀란드,LVM,2026-01-23,위원회는 새로운 EU 사이버 보안 규칙 및 디지털 네트워크법에 대한 제안을 제시합니다.,Commission presents proposals for new EU cybersecurity rules and Digital Networks Act,https://lvm.fi/en/-/commission-presents-proposals-for-new-eu-cybersecurity-rules-and-digital-networks-act?languageId=fi_FI,2026-02-04
싱가포르,MDDI,2026-01-22,중소기업협회(ASME) AI 페스티벌 아시아 2026에서 MOS Jasmin Lau의 개회사,Opening Address by MOS Jasmin Lau at the Association of Small and Medium Enterprises (ASME)’s AI Festival Asia 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-the-association-of-small-and-medium-enterprises--asme--s-ai-festival-asia-2026/,2026-02-04
싱가포르,IMDA,2026-01-22,"IMDA, 새로운 실용적인 리소스로 기업의 디지털 지속 가능성 채택을 단순화",IMDA Simplifies Digital Sustainability Adoption for Businesses with New Practical Resources,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/imda-simplifies-digital-sustainability-adoption-for-businesses-with-new-practical-resources,2026-02-04
싱가포르,IMDA,2026-01-22,"싱가포르, Agentic AI를 위한 새로운 모델 AI 거버넌스 프레임워크 출시",Singapore Launches New Model AI Governance Framework for Agentic AI,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/new-model-ai-governance-framework-for-agentic-ai,2026-02-04
호주,DISR,2026-01-22,AI와 내부 커뮤니케이션,AI and Internal Communication,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/ai-and-internal-communication,2026-02-04
캐나다,ISED,2026-01-09,"캐나다 혁신, 과학 및 경제 개발 |공식 사이트","Innovation, Science and Economic Development Canada | Official site",https://ised-isde.canada.ca/site/ised/en,2026-02-04
중국,CAC,2025-12-27,"""인공지능 의인화 인터랙티브 서비스 관리에 관한 임시조치(의견안)""에 관한 국민의견공개청취에 관한 국가인터넷정보처 고시",国家互联网信息办公室关于《人工智能拟人化互动服务管理暂行办法（征求意见稿）》公开征求意见的通知,https://www.cac.gov.cn/2025-12/27/c_1768571207311996.htm,2026-02-04
대만,moda,2025-12-23,대만 주권 AI 훈련 코퍼스(베타 버전),臺灣主權 AI 訓練語料庫 ( Beta 版),https://taic.moda.gov.tw/,2026-02-04
일본,디지털청,2025-12-02,공금수취계좌등록시스템,公金受取口座登録制度,https://www.digital.go.jp/policies/account_registration,2026-02-04
대한민국,산업통상자원부,2025-09-10,제조 AX 최강국 위해 기업들 뭉쳤다.,제조 AX 최강국 위해 기업들 뭉쳤다.,https://www.motie.go.kr/attach/down/095a2dda9c864e1d90d751f7668a1117/550665af4421284d22eb4b5b4c5ea854,2026-02-04
미국,백악관,2025-08-21,더 나은 디자인을 통해 국가를 발전시키다,IMPROVING OUR NATION THROUGH BETTER DESIGN,https://www.whitehouse.gov/presidential-actions/2025/08/improving-our-nation-through-better-design/,2026-02-04
스위스,OFCOM,2025-08-05,소통 활성화 – 다양성 강화,Enabling communication – strengthening diversity,https://www.bakom.admin.ch/en,2026-02-04
프랑스,Bercy,2025-08-01,에너지 점검의 혜택을 누리는 방법은 무엇입니까?,Comment bénéficier du chèque énergie ?,https://www.economie.gouv.fr/particuliers/gerer-mon-argent/comment-beneficier-du-cheque-energie,2026-02-04
대한민국,산업통상자원부,2025-07-02,AI 고속도로 구축 및 AI 3대 강국 도약 기반 마련,AI 고속도로 구축 및 AI 3대 강국 도약 기반 마련,https://motie.go.kr/kor/article/ATCL4fcf3d8c6/520/view,2026-02-04
영국,DSIT,2025-05-14,HMRC 온라인 서비스를 통한 기술 지원,Technical support with HMRC online services,https://www.gov.uk/find-hmrc-contacts/technical-support-with-hmrc-online-services,2026-02-04
미국,백악관,2025-03-25,미국 은행 계좌와의 결제 현대화,Modernizing Payments To and From America’s Bank Account,https://www.whitehouse.gov/presidential-actions/2025/03/modernizing-payments-to-and-from-americas-bank-account/,2026-02-04
독일,BMWK,2025-03-06,AboserviceTitel,AboserviceTitel,https://www.bmwk.de/Redaktion/DE/Pressemitteilungen/2025/20250306-evaluation-zeigt-foerderprogramme-fuer-digitalisierung-des-mittelstands-wirken.html?view=renderNewsletterHtml,2026-02-04
이스라엘,IIA,2025-01-02,2025년 당국 투자의 승자,הזוכים בהשקעות הרשות לשנת 2025,https://innovationisrael.org.il/invested-companies-2025/,2026-02-04
스웨덴,Finance,2025-01-01,2024년 말~2025년 초 발효 주요 법령 및 조례,Key acts and ordinances entering into force in late 2024/early 2025,https://www.government.se/contentassets/5d152e5e9e3a4c748b07df0beb209ffd/key-acts-and-ordinances-entering-into-force-in-late-2024-early-2025.pdf,2026-02-04
핀란드,MEE,2024-12-10,핀란드의 디지털 혁신 허브가 만들어진 방법,How Finland’s Digital Innovation Hubs were created,https://tem.fi/en/how-finland-s-digital-innovation-hubs-were-created,2026-02-04
네덜란드,EZK,2024-07-02,에디 반 마룸,Eddie van Marum,https://www.government.nl/government/members-of-cabinet/eddie-van-marum,2026-02-04
일본,디지털청,2024-06-21,디지털 인증 앱,デジタル認証アプリ,https://services.digital.go.jp/auth-and-sign/,2026-02-04
중국,CAC,2024-04-02,생성 인공 지능 서비스에 대한 등록 정보 공개에 대한 중국 사이버 공간 관리 발표,国家互联网信息办公室关于发布生成式人工智能服务已备案信息的公告,https://www.cac.gov.cn/2024-04/02/c_1713729983803145.htm,2026-02-04
