국가,기관,발행일,제목,원문,링크,수집일
캐나다,ISED,2026-02-02,캐나다 AI 리더십의 다음 장,The next chapter of Canada's AI leadership,https://news.google.com/rss/articles/CBMirAFBVV95cUxPMC1jQS0wWHF6ZUh6Tm91RldNNHZZVEJxLWpCQXJISHM2dVdqS0oxTW9pUmxFZHNyYjdTM3VrRWQ0dUlkWVREZE5JQmJESURXcHBEQlBqRTVDdDI5X2ZhaDhKU05xSTBzdVlJcW5NMW1pZEZRYTF3OXlnSjJCYXkxc1JtbXNCbjV3bzJxWG1iekRoSkVhZ0x4UlNPUGNqWWYwd2RjUHUwSExSMnR3?oc=5,2026-02-04
핀란드,LVM,2026-01-31,하쿠,Haku,https://news.google.com/rss/articles/CBMiRkFVX3lxTE93VjdmZ01JNjV2eUtzZWZIYW9EdDBMdTcwSlBBaHE1UElTQlFwNUY5VVhoS2tYZDJHd1N6dnJxN0VBWDRmb0E?oc=5,2026-02-04
호주,DISR,2026-01-31,GovAI Summit 2026: AI 활용,GovAI Summit 2026: AI in Action,https://news.google.com/rss/articles/CBMiswFBVV95cUxQTDdHZW1IN1h1QXp6cEZxMGFJQWJ4LVB2dkJPcWhNY2VZcUFJMHdEUjdLaFlDRkNIRjgtaDhkMldLMG5ad1RCeWNDeXVVbklHbnZONVUzWDVIQ3NXV3IxUHpxMWNRVmhJbmNxaEJ1SU1lSmh6azlzZVZfZmFIMnF4RzBfcm5KNWhHdUl3aFRGYVlPSDZZZkh3NDhxMC1kTkRsN3hzR3NKbFlKRGt4c1pOUVlqcw?oc=5,2026-02-04
일본,MIC,2026-01-30,보도 자료 | 레이와 8 “봄의 안신 넷·개학 액션” 대책,報道資料｜令和8年「春のあんしんネット・新学期一斉行動」の取組,https://news.google.com/rss/articles/CBMie0FVX3lxTE9UNFZIQmVoTlJiX2RLOWt2bjlSR1JxNC1WNnJZRjV1dE1EckhKVENkTnpLMEJpUS1lbHNWUnJNay1JTWlsbmlmZlNJdlByYXdvTDRHVXVwVjl6cFZyNkh0RUlQTmYyOUJtcTZHa28xazRpUk9vMUpIUE51QQ?oc=5,2026-02-04
일본,MIC,2026-01-30,보도 자료 | 지역사회 DX 프로모션 패키지 사업(보조사업) 공개모집 시작,報道資料｜地域社会DX推進パッケージ事業（補助事業）の公募を開始,https://news.google.com/rss/articles/CBMic0FVX3lxTFBrVWJkTVpSUUhac2ZqZVg4N3prUUp2Q1BlWG8yUldMdkZ1RWZRbnhFTjFKSXhGekJxd0k2dXZvVFhTdEdQRWk1LWRLQ3JjODJ4ejZlcDhacjRLTnpieDJrSHdCR1VkanRRZ3VxUmJOaXk3aWc?oc=5,2026-02-04
프랑스,Bercy,2026-01-30,데이터 센터 회의: 파리 AI 액션 서밋이 끝난 지 거의 1년 후 Anne Le Hénanff가 Bercy에서 플레이어들을 한자리에 모았습니다.,"Rencontres des Centres de données : près d'un an après le Sommet pour l'action sur l'IA de Paris, Anne Le Hénanff réunit les acteurs à Bercy",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5RdGJQSlptak1ZdXZlLTJXcTJ5cnB4YzNPSUZKdVVBeTk3cXRsS3J6OXdhZmYzSlREckJjbU9HOTBTdlN4UENyZ2Yxb1FFenZEUGFF?oc=5,2026-02-04
프랑스,DGE,2026-01-30,데이터 센터 회의: Paris AI Action Summit이 끝난 지 약 1년 후 Anne Le Hénanff가 Bercy에서 플레이어들을 한자리에 모았습니다.,"Rencontres des Centres de données : près d’un an après le Sommet pour l’action sur l’IA de Paris, Anne Le Hénanff réunit les acteurs à Bercy",https://news.google.com/rss/articles/CBMixwFBVV95cUxQakJWai1vT2NBOFBOYTd6LWVMY05sUHNTRGFhLWFIWGNpb0pmRExqdVZPcjJtclB5RHF2Yjk2enZkM3NhMjdWZGEyMFByenI3QUF1c3IxN1VtbVpBaVl1US1HVUgxUzNDYUtZT1MwSjM2cWFDY292a3p2ejJ3SkZ5U3VmS3lrekxKVEVhUmx4V0QzMkdjLWFsNTh5ekNqVGw0UTJTWF9taHJUSC1NRU15enBrYTd5b1NaeDRLWTRvOVo1UG9TY3BF?oc=5,2026-02-04
미국,백악관,2026-01-29,연방 환경 검토 속도를 높이는 CEQ 데모 기술 - CE Works,CEQ Demos Tech to Speed Up Federal Environmental Reviews – CE Works,https://news.google.com/rss/articles/CBMirwFBVV95cUxNVGQ2c2doUDRPNUFWa2dMT3I2WUNsMkdZeVR0OFpEWmVwQl9GNE9vekNfQXRSV2NEMUNWUUU4RnEzQkRTemlpcXAzMGM2Um00bHFocm8yT2Q3NHJ0NjQwajFZaDlLU0Zjb2xWUVZEaUZLRGZzb0NWX0lZMVpYQXlabXpQY1lnWE40SlhkOVNGd3lJUEdGc3djd3E0RnY2bG8tZk0xSXBuTVlTdDdDbDRr?oc=5,2026-02-04
미국,DOC,2026-01-29,인공지능,Artificial Intelligence,https://news.google.com/rss/articles/CBMiQEFVX3lxTE9ZWEtJeGxYT0o2S1R3N2xXM3U1bzB1Zm0xWHpEY09FVTR5aTFyU3RJVmFGWmExYk1QeGZQaWhhOUE?oc=5,2026-02-04
일본,MIC,2026-01-29,제51대 중의원 총선거 후보자 목록 신고 정당 등 정보 중의원 명칭 및 약칭 목록 신고 정당 등 목록(큐슈 선거구),第51回 衆議院議員総選挙 候補者・名簿届出政党等情報 衆議院名簿届出政党等（九州選挙区）の名称及び略称の一覧表,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9BWWJtZE4tT0FKZjVGVDBaZWZBYkM0Z0JZV3p4Q1J3aWFrSmFMcWVNQU5vSmk5enhqc2c0Y2JncGR1ZFZTT0tyTV9xdmZIY2tFc2lZNFZXdTRhY2FaOHNEaWFLWlA5QQ?oc=5,2026-02-04
영국,DSIT,2026-01-29,인공지능(AI) 전략,Artificial intelligence (AI) strategy,https://news.google.com/rss/articles/CBMie0FVX3lxTFA4dXhlT0pOVE95WGNmLVoyVDV6QmlkSGtWUEN4YmROZzZoRFphRzk5c0tJX3hxNngtQmUzSVZ0WFRPZ3ZjaF9Ga01EY0dubFR6dmNteGt4LVVja19YdTQzS2hiLWxBaVlMOG9kUW0wcHd2cnF6REZPd195MA?oc=5,2026-02-04
프랑스,Bercy,2026-01-29,사이버 보안: 정부는 국가 사이버 보안 전략 2026-2030을 공개합니다.,Cybersécurité : le Gouvernement dévoile la Stratégie nationale de cybersécurité 2026-2030,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBJS0w5ajJxSlZwT3NaTjc1OEZmQ1h4OHBSVUxaRGRHM3ZBRnFOZzN0X19ya2lobGE2RDdzMkhKV2dfbXpoSkc3LUEwcWN3YnNYZEM4?oc=5,2026-02-04
일본,MIC,2026-01-28,제51대 중의원 총선거 후보자/목록 통보된 정당 등 정보 중의원에 등록된 정당 등의 명칭 및 약칭 목록(전체 선거구),第51回 衆議院議員総選挙 候補者・名簿届出政党等情報 衆議院名簿届出政党等（全選挙区）の名称及び略称の一覧表,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBrZ2lBVU95Y2RORFJwQzZjbDk3TWVQZWpYMV9Rak94LWZ4QkpueW1TaHhtUDQ4dHphVzlGSTg4dG9tSGMwU0J0YjRzMlluRHdHR0lmd1BwbXEwbnBUbENn?oc=5,2026-02-04
일본,MIC,2026-01-28,"""첨단장비 등을 활용한 방송콘텐츠 제작촉진사업"" 관련 집행기관(직접보조업체)을 모집합니다.",「先進的設備等を活用した放送コンテンツ製作促進事業」に係る執行管理団体（直接補助事業者）の公募,https://news.google.com/rss/articles/CBMic0FVX3lxTE1qdHlOdU9YdUFzZDd1U1ZuaFVJX2p3V21hUVZ5aHVZdl9ELWxqV29nWlBUUE9nNXFENTBZWmJPMHJtQlRBTHJwdG5kRm9nTXVqbnBXSHByZ2d4SHE4QkEtQTVvZU5EUWQtTjEyQkxjWERrVE0?oc=5,2026-02-04
영국,DSIT,2026-01-28,"2030년까지 1,000만 명의 근로자에게 주요 AI 기술을 제공하기 위해 정부 및 산업 프로그램이 확대됨에 따라 모든 사람을 위한 무료 AI 교육","Free AI training for all, as government and industry programme expands to provide 10 million workers with key AI skills by 2030",https://news.google.com/rss/articles/CBMi8wFBVV95cUxPRFUxYjB1cTFReVkxRmRzYkV5WVdfWnVtNVBkUE1QWGNkczBmOFItcUZVYW1FRm9XSFBpWmRsTk01N2dxNzJsdUFRWjJKZnpUeUZPY3J2V2lwN19WeVVUOHFWTm0yNUZGVG4zX3VZM0FOZTRleU5HNFQzYkE0QmN6WFh3bUVhdnJ2UWRHSTJ4RjZpTFJ1bVh6VHJ1dFdHRzhCT2pjeWJCWi11VTZ2bUtIM20yYlNZQ3ppUUNxSHZCMW9rSmtYUmhJRktmSHB3UkpfVzN6dFhEVUNuM2ZndmE0Wk9NdEZDLTVKOGRNUllZTmNjYUU?oc=5,2026-02-04
영국,DSIT,2026-01-28,업무를 위한 AI 기반 기술,AI foundation skills for work,https://news.google.com/rss/articles/CBMifEFVX3lxTE42S1RIeFA3d0E3ODJKaUZWVVBEZHVIbFFQMjBxUUtTMmdUc2JGc2h1alZueHFjYXdHWjZ6ZWxaem1EOWdnU3FFdi12RGZ1TDBLLW90NEtyT19adFhaN3RYX25jRFNXaWVqbG9TbTRZSUNwbTktRHY5eDdiQms?oc=5,2026-02-04
영국,DSIT,2026-01-28,삶과 업무를 위한 AI 기술: 이해관계자 참여,AI Skills for Life and Work: Stakeholder engagement,https://news.google.com/rss/articles/CBMimAFBVV95cUxPaUpGQS1ZT3NZTVo5eUJFQVNSUGlGekxmSm1tZHM4NHNodWNJUWRPdEdpZkVhenlBMXdWN3V2aU5MNmYxdzhiRGx2cF9uVkZ4R2dLenQ2YWpVejFmaUFUZmJVdldhZVFmMFZ6OWlORGpUX0xBdHRXVlFtYkx3ZnJWNlQxTnFFSUR3VENZUEVnMW5XTU1KVlp1dw?oc=5,2026-02-04
스위스,WBF,2026-01-28,AI Summit 2027: 스위스는 행사 개최 의지를 나타냄,AI Summit 2027: Switzerland indicates willingness to host event,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE91eWFzbzhmQlBkMFlKamRZUFQ0Ty04YkJ0V2NURHZ5OGNPWWU0bTBQaUxWcWdNbDBlR1hMMjNjRkVkU2F6SWRFV0cxX21KV3ZySGNITXdLQWNxVFFBS1NKQTZHWnJwV1k?oc=5,2026-02-04
프랑스,Bercy,2026-01-28,비즈니스에서의 인공지능,Intelligence artificielle en entreprise,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPQ3FjRXk5aGRHczhFVHV6QWpLQnZRajJvNjBvVVBfaEM3amdDeExRREJueHNfT2hFczZBX0loMlZRVXZIcnl3N3EwY3FBWUNxTkVDdElaVmRodmUzYWdITVl2cFBPMlU0VTdJQmRCelZQdXFhc0N0UVhLaHpWc3g0T2JJa0NhYTZyNXRoRnJ1OTd3dFZKTkxNWHpiRnVSa2RYM0ttT29HaVE5YkJOQndGVVd3SFJfVktSc19qSzlScS16Zw?oc=5,2026-02-04
대만,MOEA,2026-01-28,경제부는 투자 유치에 있어 유익한 성과를 거두었으며 투자 모멘텀은 지속적으로 확대되고 있습니다.,經濟部招商成果豐碩 投資動能持續擴大,https://news.google.com/rss/articles/CBMijAFBVV95cUxNLWljckg1SWVON0ZYY1Q5T0x4N1VVb0RZNFFVUV9OY2lUYUJtX1JfM3RFcUM2NGRPc0V5UExqVjlzWmlTTWtKNXlkZFZnZ25jekVPYkk3MFh2Q2NYNHVlaTZSRHA2M2w5cUM5YUZ3YllpemZRUG01Q3Eya05mUjctSjNwV012NFV4alBJZA?oc=5,2026-02-04
대만,MOEA,2026-01-28,파워포인트 프레젠테이션,PowerPoint 簡報,https://news.google.com/rss/articles/CBMiggFBVV95cUxQZzhWYUxiS2NjcDhiZ3JvOUpfZ256T2JSY1E5NG5qOEVDNW9rRmpKOWZ2SGN5YWFJQlcyWUZ1dXQwWlZnZzdScFUwa1Ffd1Q3eWJoSkR6Q3VNN21KdHNVZ1V0bnFRSzZEa3IzMnF2ZHNFV2xSdVd4aExMb1gtaHJkWXBB?oc=5,2026-02-04
