기관,발행일,제목,PDF여부,링크
NIA,2026-01-26,NIA 지식정보,NO,https://www.nia.or.kr/newsletter/6d690c33_cf4d_4a11_bb3b_74e5e20169e8.html;jsessionid=C1A7B363FC85F9C4E75D790E9E9A0BE6.a40edfd9773606361118
NIA,2026-01-22,HOME > 알림마당 > NIA 알림 > 공지사항 > AI기본법 시행 및 하위법령 공개(1.22.~),NO,https://nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28987
NIA,2026-01-22,[리포트] 인공지능 영향평가 가이드라인,YES,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=13
NIA,2026-01-06,NIA 지식정보,NO,https://www.nia.or.kr/newsletter/e46c0f44_0274_4f99_8922_1d6f5122aba5.html;jsessionid=C1A7B363FC85F9C4E75D790E9E9A0BE6.a40edfd9773606361118
NIA,2026-01-03,NIA 지식정보,NO,https://www.nia.or.kr/newsletter/763a8f18_1d4a_4a85_9bd4_6c8070e3b26a.html;jsessionid=7E575F912AEA6E8F10157695A4E8D031.4c1e94b8fa6c06361194
SPRI,2026-01-02,2026년 1월호,NO,https://spri.kr/posts/view/23943?code=AI-Brief&study_type=&board_type=&flg=1
NIA,2026-01-01,[리포트] Untitled,YES,https://www.nia.or.kr/common/board/Download.do?bcIdx=28987&cbIdx=99835&fileNo=6
NIA,2025-12-30,2025 AI 동향과 이슈로 살펴보는 AI 시대에 꼭 알아야 할 핵심용어,NO,https://nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=82618&bcIdx=28928&parentSeq=28928
NIA,2025-12-30,"한국지능정보사회진흥원, 「2025 AI 동향과 이슈로 살펴보는 AI 시대에 꼭 알아야 할 핵심용어집」 발간",NO,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=90549&bcIdx=28930&parentSeq=28930
NIA,2025-12-22,[리포트] 보 도 자 료,YES,https://www.nia.or.kr/common/board/Download.do?bcIdx=28891&cbIdx=90549&fileNo=2
NIA,2025-12-22,HOME > 알림마당 > NIA 알림 > 보도자료 > 2025 AI 허브 데이터 활용 우수 사례 선정,NO,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=90549&bcIdx=28891&parentSeq=28891
과기정통부,2025-12-18,사전정보공표목록,NO,https://www.msit.go.kr/publicinfo/detailList.do?referKey=401&publictSeqNo=401&sCode=user&mId=63&mPid=62&formMode=L&publictListSeqNo=9
NIA,2025-12-08,[The AI Report 2025-17] 사람 중심의 AI 금융 추진 전략,NO,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=82618&bcIdx=28833&parentSeq=28833
개인정보위,2025-07-30,국가별 정보,NO,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS105&mCode=D060010000&nttId=11399
과기정통부,2025-07-26,사전정보공표목록,NO,https://www.msit.go.kr/publicinfo/view.do?referKey=15&publictSeqNo=15&sCode=user&mId=63&mPid=62&formMode=R&publictListSeqNo=3
SPRI,2025-05-26,주요국 AI 인재 양성 및 유치 정책 : 현황 및 시사점,NO,https://spri.kr/posts/view/23877?code=data_all
개인정보위,2025-05-21,이 누리집은 개인정보보호위원회 누리집입니다.,NO,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS105&mCode=C030020000&nttId=11213
SPRI,2025-04-01,특허지표를 활용한 주요국 AI 기술 경쟁력 분석,NO,https://spri.kr/posts/view/23836?code=data_all
SPRI,2025-01-07,이슈리포트,NO,https://spri.kr/posts/view/23810?code=data_all&study_type=&board_type=issue_reports
