기관,발행일,제목,원문,링크,수집일
OECD,2024-07-02,인공지능,Artificial intelligence,https://news.google.com/rss/articles/CBMia0FVX3lxTE1JWkpJeWM4ajcyamF2M2pscmE2SmhQaUZZT0NVMUJFTGVseXpBckJfTGhJU3NJdDFPU3VhdlJVMUFjMUZSNEFESDlySkJBc21odEh1akNOSnV5eEtfWW1OVmtRV2YxQ2pjcnBF?oc=5,2026-01-30
OECD,2026-01-19,2026년 OECD 디지털 교육 전망,OECD Digital Education Outlook 2026,https://news.google.com/rss/articles/CBMikwFBVV95cUxOWDIwSUhoRmhRYTgwaDRqRS1URDNMemNfeFFnQ1hQYnBzajhUSXVYY1pYNU5jaTNZZ1p2QlFmUDJtOVlTeEVDSzJ2Q004cGFxd29zVzFMN1ZHdUl2bl9nVmd2ZkZMVWx3MWtfQS1CT1JsRG5ueGRuMjdGbmJqbTVkYTlKM2luUDRfWlJFS2hWWC1jT0U?oc=5,2026-01-30
OECD,2024-07-01,인턴십,Internships,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9ualFpREZNNm5wMnhCWXh5c0tNWnQ3SlllVEdlTElpUm1CNVpSMFBrMDd3dG8wQ1d0dDJIY1E5Q0NwSnIzZjdpeThtMzZCWDJPNUxYaFV5WXphbnRWaWJfbThWMUk?oc=5,2026-01-30
OECD,2024-07-01,국제 학생 평가 프로그램(PISA),Programme for International Student Assessment (PISA),https://news.google.com/rss/articles/CBMiX0FVX3lxTE82MWZEX01BOFpQVjV5S0o5YW9EVGgxZHM3SFBwOThBLVRTZlFzVEVOa3B3UDFscTJ6UUs5ZEhSRHJVXzNCckI0X2xJNkIyV1NMb1N2WlVpSS1EVWZBa0Rv?oc=5,2026-01-30
OECD,2024-07-01,데이터,Data,https://news.google.com/rss/articles/CBMiSEFVX3lxTFAwMlZ4SlVvdDNyeE1OWmpPbjJhSzJZdzNtbUMyT1pSbkZZN2Q5NkFoTjVTUWc5M2t3YVl0QmhOQWhNZWlCeEJYOQ?oc=5,2026-01-30
OECD,2006-03-21,경제협력개발기구 |OECD,The Organisation for Economic Co-operation and Development | OECD,https://news.google.com/rss/articles/CBMiOEFVX3lxTE9INDRpWUZUMGRvTEF0WE5tLTFtQk9sdHlXR0w4QzJNMTZWbDQ5LVgwQi12Njd5a242?oc=5,2026-01-30
OECD,2024-07-02,교육,EDU,https://news.google.com/rss/articles/CBMijAFBVV95cUxOLUI4SWZZUGhpYWs4OFN1dGJseHlGX1YwRkY1bFp2a3JzSzM3YW9fWXZhN3BMRy1ReTBheFlvWDRibElrdDNHbDJpY0JLeEhlVU1OYktOTV95RE5vcUhFNW8xaWVnNG94M0M5c1Rha29PbWZuU3ZrekZ1a0FKMmJZUnhNUzFuWGZlOXRpZQ?oc=5,2026-01-30
OECD,2023-12-05,PISA 2022 결과(제1권),PISA 2022 Results (Volume I),https://news.google.com/rss/articles/CBMihwFBVV95cUxONWlZVU95eWZNZDlOb2ZOLVFmeUFZMUdyb0VrNkxpMTdpNnNnM1BzWGFCZkVYUHhoUnQ3UzFsckVlZVUyX3JJQWp6dWZxMWJHSmh0X29aN243c0xuYmNLWVMwZkQ3MnJKYmhiRVdubmhVaXZPd0ExVWdZTVdGa2F0Q183eWdiX1k?oc=5,2026-01-30
OECD,2025-06-18,세금 식별 번호,Tax identification numbers,https://news.google.com/rss/articles/CBMiywFBVV95cUxNbXR4ZVc3RTVaNkstN2w5SHpXQndpaWQ3aGNKYmRjSTl1elpxVWpPMEt0c0NlUnZBNVlKVWVpSlVYZDBLeXM4a1NQTWdBWGVIdzloa3dBQ3FYZU5lSklBRFZFbzNyWmptZXMzREx0Tll5cnFhZ05aYVJHZXVZZzZpLTU0djRNOEgwN09TT1BfZ3QxX1VMS2pnWEplTld6blVVdzJSVi1WcGh4RjhENDRqOGhLS0ZWSjlVYjdJdDNyOWhxMmczV3d5M01kOA?oc=5,2026-01-30
OECD,2026-01-29,고등중등인증의 이론과 실제,The Theory and Practice of Upper Secondary Certification,https://news.google.com/rss/articles/CBMirwFBVV95cUxOVmtmX3BRQUJDYVFNTi1xTm9OYmFNRWo3ZWJ2VWIxTlduRkdKRi1lMTEySWQxT3pHZ1M1dkhPaXlBUkVHNVJLUk9QdzFpMTFUWmNNRGFsOGY1czJRV2tleTliTGtOWTM4a01LdnFVX2MyN2llMFZnSmRhWWp3WlZDRXQ0NmRFSDg1enFES1VyU296R3hLUld2SkNTRFA1M09EQkpkZFQ4bFhwUjVnc0pJ?oc=5,2026-01-30
