발행일,유형(Category),제목,원문링크
2026-02-04,기타 정책(General),Nominations Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2026/02/nominations-sent-to-the-senate-2f25/
2026-02-03,기타 정책(General),"NATIONAL BLACK HISTORY MONTH, 2026",https://www.whitehouse.gov/presidential-actions/2026/02/national-black-history-month-2026/
2026-01-30,기타 정책(General),CELEBRATING AMERICAN GREATNESS WITH AMERICAN MOTOR RACING,https://www.whitehouse.gov/presidential-actions/2026/01/celebrating-american-greatness-with-american-motor-racing/
2026-01-29,기타 정책(General),ADDRESSING THREATS TO THE UNITED STATES BY THE GOVERNMENT OF CUBA,https://www.whitehouse.gov/presidential-actions/2026/01/addressing-threats-to-the-united-states-by-the-government-of-cuba/
2026-01-29,기타 정책(General),ADDRESSING ADDICTION THROUGH THE GREAT AMERICAN RECOVERY INITIATIVE,https://www.whitehouse.gov/presidential-actions/2026/01/addressing-addiction-through-the-great-american-recovery-initiative/
2026-01-29,기타 정책(General),"YEAR OF CELEBRATION AND REDEDICATION, 2026",https://www.whitehouse.gov/presidential-actions/2026/01/year-of-celebration-and-rededication-2026/
2026-01-28,기타 정책(General),"NATIONAL SCHOOL CHOICE WEEK, 2026",https://www.whitehouse.gov/presidential-actions/2026/01/national-school-choice-week-2026/
2026-01-27,기타 정책(General),ADDRESSING STATE AND LOCAL FAILURES TO REBUILD LOS ANGELES AFTER WILDFIRE DISASTERS,https://www.whitehouse.gov/presidential-actions/2026/01/addressing-state-and-local-failures-to-rebuild-los-angeles-after-wildfire-disasters/
2026-01-23,기타 정책(General),CONTINUANCE OF THE FEDERAL EMERGENCY MANAGEMENT AGENCY REVIEW COUNCIL,https://www.whitehouse.gov/presidential-actions/2026/01/continuance-of-the-federal-emergency-management-agency-review-council/
2026-01-20,기타 정책(General),STOPPING WALL STREET FROM COMPETING WITH MAIN STREET HOMEBUYERS,https://www.whitehouse.gov/presidential-actions/2026/01/stopping-wall-street-from-competing-with-main-street-homebuyers/
2026-01-19,기타 정책(General),"MARTIN LUTHER KING, JR., FEDERAL HOLIDAY, 2026",https://www.whitehouse.gov/presidential-actions/2026/01/martin-luther-king-jr-federal-holiday-2026/
2026-01-14,기타 정책(General),Adjusting Imports of Processed Critical Minerals and Their Derivative Products into the United States,https://www.whitehouse.gov/presidential-actions/2026/01/adjusting-imports-of-processed-critical-minerals-and-their-derivative-products-into-the-united-states/
2026-01-14,15. Hardware,"ADJUSTING IMPORTS OF SEMICONDUCTORS, SEMICONDUCTOR MANUFACTURING EQUIPMENT, AND THEIR DERIVATIVE PRODUCTS INTO THE UNITED STATES",https://www.whitehouse.gov/presidential-actions/2026/01/adjusting-imports-of-semiconductors-semiconductor-manufacturing-equipment-and-their-derivative-products-into-the-united-states/
2026-01-13,기타 정책(General),Nominations Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2026/01/nominations-sent-to-the-senate-078c/
2026-01-09,기타 정책(General),Safeguarding Venezuelan Oil Revenue for the Good of the American and Venezuelan People,https://www.whitehouse.gov/presidential-actions/2026/01/safeguarding-venezuelan-oil-revenue-for-the-good-of-the-american-and-venezuelan-people/
2026-01-07,기타 정책(General),"Withdrawing the United States from International Organizations, Conventions, and Treaties that Are Contrary to the Interests of the United States",https://www.whitehouse.gov/presidential-actions/2026/01/withdrawing-the-united-states-from-international-organizations-conventions-and-treaties-that-are-contrary-to-the-interests-of-the-united-states/
2026-01-07,기타 정책(General),PRIORITIZING THE WARFIGHTER IN DEFENSE CONTRACTING,https://www.whitehouse.gov/presidential-actions/2026/01/prioritizing-the-warfighter-in-defense-contracting/
2025-12-19,1. 5G/6G Network,Winning the 6G Race,https://www.whitehouse.gov/presidential-actions/2025/12/national-security-presidential-memorandum-nspm-8-0bda/
